sku;melhor_frete;diferenca_frete;preco_principal;frete_principal;preco_decoralli;frete_decoralli;titulo_principal;titulo_decoralli
POLTMANULINHOBEGE;facilita-brasil-principal;427,95;940,00;70,95;981,96;498,90;Poltrona Nuvem Confort Sala Leve Barbearia Restaurante Leve Bege Liso;Sofá Namoradeira Decoralli Nuvem Confort 2 Lugares 145cm Bege Liso
POLTMANULINHOCINZA;facilita-brasil-principal;427,95;940,00;70,95;981,96;498,90;Poltrona Cheisselonge Premium Cinza Em Brim Para Sala E Escritório Liso;Sofá Namoradeira Decoralli Nuvem Confort 2 Lugares 145cm Cinza Liso
SFBENY140LINHOBEGE;facilita-brasil-principal;331,22;1430,00;48,68;1560,81;379,90;Puff Sofa Sala Tv Luxo Sofisticado Elegante Linho Bege Hall Restaurante Casa Apartamento;Sofa Beny Decoralli 140cm 2 Lugares Linho Pes Madeira Bege
SFBENY140LINHOCINZA;facilita-brasil-principal;303,77;1269,00;76,13;1560,81;379,90;Sofá Beny Estofado Quadrado Forte Leve Sala Estar Luxo Grafite 140cm Liso Quadrado Compacto Cinza;Sofa Beny Decoralli 140cm 2 Lugares Linho Pes Madeira Cinza
SFMILAO180CORINOCARAMELO;facilita-brasil-principal;268,25;1520,00;111,65;1755,93;379,90;Sofa Sala De Luxo Namoradeira Moderna Barbearia Couro Leve Caramelo Corino;Sofa Decoralli Milao 2 Lugares 180cm Caramelo Pes Madeira Caramelo Liso
SFBENY180LINHOCINZA;facilita-brasil-principal;191,05;1559,99;188,85;1609,61;379,90;Sofá Beny Estofado Quadrado Forte Leve Sala Estar Luxo Grafite Liso;Sofa Beny Decoralli 180cm 2 Lugares Linho Pes Madeira Cinza Liso
POLTBENYLINHOPRETO;facilita-brasil-principal;161,55;899,00;49,35;791,99;210,90;Poltrona Beny Linho Preto Conforto Premium Quadrada Forte Preto Liso;Poltrona Beny Linho Pes Madeira Decoralli Preto
POLTEROSCORINOPRETO;facilita-brasil-principal;139,95;1020,00;70,95;1105,44;210,90;Poltrona Papai Couro Eros Reclinável Sala Tv Estar Conforto Preto Facilita Brasil Liso;Poltrona Decoralli Papai Eros Corino Porta Copo Sala Estar Preto Capitonê
PUFFGRECIAPRETO;facilita-brasil-principal;134,70;799,00;43,88;999,00;178,58;Puff Estilo Poltrona Orgânica Grécia Estilo Sala Espera Tv Preto;Puff Grecia Decoralli Banqueta Redonda Linho Pes Madeira Preto
SFMOBLY180BEGE;facilita-brasil-principal;123,00;1526,99;65,85;1656,99;188,85;Sofá Cama Retrátil Reclinável Sala Espera Tv Moderno Macio Bege Capitonê;Sofá Cama Bege Suede Reclinável Estofado Sala Leve Madeira Bege Capitonê
POLTGRECIALINHOBEGE;facilita-brasil-principal;117,30;805,99;61,28;999,00;178,58;Puff Redondo Grande Estofado 74cm Para Sala Decorativo Com Estrutura De Madeira Confortável Bege;Puff Grecia Decoralli Banqueta Redonda Linho Pes Madeira Bege
POLTGRECIALINHOCINZA;facilita-brasil-principal;110,70;708,34;67,88;999,00;178,58;Pufe Orgânico Estilo Poltrona Grécia Em Linho Premium Cinza;Puff Grecia Decoralli Banqueta Redonda Linho Pes Madeira Cinza
POLTGRECIALINHOCAPUCCINO;facilita-brasil-principal;102,45;708,34;76,13;999,00;178,58;Puff Poltrona Grécia Orgânica Com Design Elegante Luxo Cappuccino;Puff Grecia Decoralli Banqueta Redonda Linho Pes Madeira Capuccino
POLTMONALINHOAZULPETROLEO;facilita-decoralli;100,40;799,00;127,45;693,99;27,05;Poltrona Corino Decorativa Cadeira Moderna Madeira Sala Cor Azul-petróleo Linho Desenho Do Tecido Liso;Poltrona Mona Bege Linho Premium Conforto Decoração Madeira Azul-petróleo Liso
KIT2POLTMONALINHOBEGE;facilita-decoralli;98,20;1430,00;127,45;978,42;29,25;Conjunto Com 2 Poltronas Bella Design Poltrona Mona Cor Bege Linho;V88 Ecommerce Premium Mona Poltrona 1 Bege Liso
SFMILAO180CORINOPRETO;facilita-brasil-principal;96,62;1524,47;283,28;1593,33;379,90;Puff Sofa Orgânico Off Poltrona Sofisticado Decorativo Preto;Sofá Decoralli Milão 3 Lugares 180cm Preto Pés De Madeira Preto Liso
SFMILAO140CORINOPRETO;facilita-brasil-principal;49,07;1239,90;98,78;1233,35;147,85;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Preto;Sofá Namoradeira Couro Sintético Pés Madeira Sala Tv 140cm Preto Liso
PUFFELEGANCECINZA;facilita-brasil-principal;42,53;730,00;70,95;725,57;113,48;Poltrona Elegance Estofado Tecido Macio Confortável Puff Cinza/preto Liso;Puff Poltrona Decoralli Elegance Redondo Compose Pes Madeira Cinza
PUFFELEGANCEOFFWHITE;facilita-brasil-principal;42,53;730,00;70,95;725,57;113,48;Poltrona Elegance Estofado Tecido Macio Confortável Puff Off-white/caramelo Liso;Puff Poltrona Decoralli Elegance Redondo Compose Pes Madeira Off White
POLTRONANUVEMCONFORTCINZA;facilita-decoralli;41,70;979,02;70,95;494,53;29,25;Poltrona Cheisselonge Premium Cinza Em Brim Para Sala E Escritório Liso;Facilita Brasil Premium Cheisselonge Poltrona 1 Cinza Liso
SFMOBLY180VERDE;facilita-decoralli;34,33;1660,00;167,48;1656,99;133,15;Sofá Cama Casal Queen Reclinável Bicama Estofado Leve Verde Verde Liso;Sofá Cama Verde Suede Reclinável Estofado Sala Leve Madeira Verde Capitonê
SFMILAO140CORINOCARAMELO;facilita-decoralli;29,43;1239,00;98,78;1141,99;69,35;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Caramelo;Sofá Namoradeira Couro Sintético Pés Madeira Sala Tv 140cm Caramelo Liso
KIT2POLTRONASMONACORINOCARAMELO;facilita-brasil-principal;21,77;1530,00;178,58;1530,99;200,35;Conjunto - 2 Poltronas Mona Luxo Madeira Maciça Castellar Cor Corino Caramelo;Conjunto - 2 Poltronas Mona Luxo Madeira Maciça Castellar Cor Corino Caramelo
SFMOBLY180VELUDOTERRACOTA;facilita-brasil-principal;14,10;1390,00;119,05;1656,99;133,15;Sofá Cama Forte Suede Reclinável Estofado Sala Leve Madeira Terracota Liso;Sofá Cama Terracota Suede Reclinável Estofado Sala Leve Terracota Capitonê
SFYARA180VELUDOAZUL;facilita-brasil-principal;3,12;1799,00;221,78;1466,52;224,90;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Azul;Sofa Cama Decoralli Yara 2 Lugares 180cm Reclinavel Azul Liso
SFYARA180VELUDOBEGE;facilita-brasil-principal;3,12;1799,00;221,78;1583,84;224,90;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Bege;Sofa Cama Decoralli Yara 2 Lugares 180cm Reclinavel Bege Liso
KIT2POLTRONASMONACINZA;empate;0,00;1536,99;127,45;1545,99;127,45;Conjunto 2 Poltronas Decorativa Mona Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Cinza Claro;Conjunto 2 Poltronas Decorativa Mona Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Cinza Claro
POLTBENYCORINOPRETO;sem dado suficiente;;899,99;49,35;496,45;;Poltrona Beny Couro Preto Quadrado Sala Tv Estar Hall Restaurante Confortável Leve E Resistente Recepção Liso;Poltrona Decoralli Beny Corino Preto Pes Madeira Sala Estar Preto Liso
POLTBENYLINHOBEGE;sem dado suficiente;;899,00;188,85;518,52;;Poltrona Beny Salão Beleza Barbearia Escritório Recepção Tv Bege Liso;Poltrona Decoralli Beny Corino Preto Pes Madeira Sala Estar Bege Liso
POLTBENYLINHOCINZA;sem dado suficiente;;717,99;147,85;496,45;;Poltrona Beny Quadrada Estofada 1 Lugar Com Estrutura E Base De Madeira Para Sala Quarto Recepção Confortável Moderna Cinza Linho;Poltrona Decoralli Beny Corino Preto Pes Madeira Sala Estar Cinza Liso
POLTEROSCORINOBEGE;sem dado suficiente;;1020,00;70,95;738,58;;Facilita Brasil Premium Cheisselonge Poltrona Off White Liso;Poltrona Decoralli Papai Eros Corino Porta Copo Sala Estar Branco Capitonê
POLTEROSCORINOCARAMELO;sem dado suficiente;;1020,00;119,05;680,85;;Poltrona Papai Reclinável Couro Sala Tv Conforto Cadeira Caramelo Liso;Poltrona Decoralli Papai Eros Corino Porta Copo Sala Estar Caramelo Capitonê
POLTMONACORINOCARAMELO;empate;0,00;921,90;107,95;728,37;107,95;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Caramelo Direto Da Fabrica Facilit Brasil Variadas Liso;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Corino Caramelo Variadas
POLTMONALINHOBEGE;sem dado suficiente;;932,99;191,18;482,27;;Poltrona Decorativa Luxo Mona Madeira Maciça Cores Cor Linho Bege;Poltrona Decoralli Mona 73cm Pes De Madeira Sala Estar Bege Liso
POLTMONALINHOCINZA;sem dado suficiente;;805,99;50,75;482,27;;Poltrona Mona Luxo Madeira Maciça Tecido Linho Cinza;Poltrona Decoralli Mona 73cm Pes De Madeira Sala Estar Grafite Liso
POLTMONAVELUDOAZUL;sem dado suficiente;;921,90;107,95;482,27;;Castellar Mobile Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Veludo Azul Variadas;Poltrona Decoralli Mona 73cm Pes De Madeira Sala Estar Azul Liso
PUFFELEGANCELINHOCORINOCINZA;empate;0,00;699,00;43,88;593,99;43,88;Puff Elegance Redondo Confortável Compacto Estofado Leve Cinza/preto;Puff Elegance Redondo Confortável Compacto Estofado Leve Cinza/preto
PUFFELEGANCELINHOCORINOOFFWHITE;empate;0,00;699,00;43,88;899,90;43,88;Puff Elegance Redondo Confortável Compacto Estofado Leve Off-white/caramelo;Puff Elegance Redondo Confortável Compacto Estofado Leve Off-white/caramelo
SFBENY140CORINOPRETO;sem dado suficiente;;1499,90;70,95;1196,43;;Sofá Beny 140cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso;Sofa Beny Decoralli 140cm 2 Lugares Linho Pes Madeira Preto
SFBENY140LINHOAZUL;sem dado suficiente;;1319,90;65,85;826,19;;Sofá Estofado Moderno Para Sala Confortável Com Estrutura E Pés De Madeira Azul Linho Premium Liso;Sofa Beny Decoralli 140cm 2 Lugares Linho Pes Madeira Azul
SFBENY140LINHOVERDE;sem dado suficiente;;1288,99;65,85;880,36;;Sofá Beny Linho Verde 140cm Recepção Decorativo Moderno Leve Verde Liso;Sofa Beny Decoralli 140cm 2 Lugares Linho Pes Madeira Verde
SFBENY180CORINOPRETO;sem dado suficiente;;945,74;;1250,00;;Sofá Beny 180cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso Preto Liso;Sofa Beny Decoralli 180cm 2 Lugares Linho Pes Madeira Preto Liso
SFBENY180LINHOBEGE;sem dado suficiente;;1074,82;;1609,61;379,90;Sofá Cama Bege Suede Reclinável Estofado Sala Leve Madeira Sala De Espera Tv Hall Entrada Restaurante Leve 184cm Liso;Sofa Beny Decoralli 180cm 2 Lugares Linho Pes Madeira Bege Liso
