sku;ean;titulo;custo;imposto;embalagem;frete;outros
00103800;7898915802184;gelele slime balde 457g roxo (roxo 3495 un);11,82;12;0;0;0
00116537;7899714845686;babuche boa onda 1716 john (100-05 preto/preto-bco 37/38);56,04;12;0;0;0
00116539;7899714845693;babuche boa onda 1716 john (100-05 preto/preto-bco 39/40);56,04;12;0;0;0
00116541;7899714845709;babuche boa onda 1716 john (100-05 preto/preto-bco 41/42);56,04;12;0;0;0
00116543;7899714845716;babuche boa onda 1716 john (100-05 preto/preto-bco 43/44);56,04;12;0;0;0
001KIT;;;25,13;12;0;0;0
001KIT1;;;25,13;12;0;0;0
00415500;7909914967290;mochila molekinha 20023.1 pvc/gorgurao lurex preto (17131 preto 01/prata un);61,63;12;0;0;0
00591200;;bolsa  praia tote bag mf3545 rosa claro (rosa claro 3545 un);13,04;12;0;0;0
00591300;;bolsa de praia tote bag mf3495 bananinha (roxo 3495 un);4,13;12;0;0;0
00591400;;bolsa de praia tote bag mf3495 bananinha (laranja 3495 un);4,13;12;0;0;0
00591500;7899753550138;bolsa de praia tote bag mf3495 bananinha (verde 3495 un);4,13;12;0;0;0
00596800;;mochila clio pets cp2649d tubarao vermelho/azul (vermelho/azul un);20,80;12;0;0;0
00596900;;mochila clio pets cp2649d patinho amarelo/azul (amarelo/azul un);20,80;12;0;0;0
00607835;7909989203491;chinelo havaianas top basic (t basic branco/br/branco 35/36);23,55;12;0;0;0
00607837;7909989203507;chinelo havaianas top basic (t basic branco/br/branco 37/38);23,55;12;0;0;0
00607839;7909989203514;chinelo havaianas top basic (t basic branco/br/branco 39/40);23,55;12;0;0;0
00607841;7909989203521;chinelo havaianas top basic (t basic branco/br/branco 41/42);23,55;12;0;0;0
00607843;7909989203538;chinelo havaianas top basic (t basic branco/br/branco 43/44);23,55;12;0;0;0
00607845;7909989203545;chinelo havaianas top basic (t basic branco/br/branco 45/46);23,55;12;0;0;0
00607847;;chinelo havaianas top basic (t basic branco/br/branco 47/48);23,55;12;0;0;0
00609201;027084120134;carro hot wheels sortido und (sortido und);14,72;12;0;0;0
00610000;7898947387086;slime gelele ovo surpresa unicornio (unicornio sortido un);7,02;12;0;0;0
00610523;;chinelo rider 11592 slide street (ar411 preto/preto 23/24);19,38;12;0;0;0
00610525;;chinelo rider 11592 slide street (ar411 preto/preto 25);19,38;12;0;0;0
00610526;7909937154806;chinelo rider 11592 slide street (ar411 preto/preto 26/27);19,38;12;0;0;0
00610528;7909937154813;chinelo rider 11592 slide street (ar411 preto/preto 28);19,38;12;0;0;0
00610529;7909937154820;chinelo rider 11592 slide street (ar411 preto/preto 29);19,38;12;0;0;0
00610530;7909937154837;chinelo rider 11592 slide street (ar411 preto/preto 30);19,38;12;0;0;0
00610531;7909937154844;chinelo rider 11592 slide street (ar411 preto/preto 31);19,38;12;0;0;0
00610532;7909937154851;chinelo rider 11592 slide street (ar411 preto/preto 32/33);19,38;12;0;0;0
00610534;7909937154868;chinelo rider 11592 slide street (ar411 preto/preto 34);19,38;12;0;0;0
00610535;7909937154875;chinelo rider 11592 slide street (ar411 preto/preto 35/36);19,38;12;0;0;0
00613200;7898947386638;mola doce brinquedo mania (mola sortida un);7,83;12;0;0;0
00613300;7898915802269;mola doce brinquedo unicornio (mola unicornio color un);6,64;12;0;0;0
00613400;1009015915079;carrinho maisto und (maisto sortido un);8,94;12;0;0;0
00614315;;tenis klin 453.106 walk baby (walk branco/marinho/verme 15);57,68;12;0;0;0
00614316;;tenis klin 453.106 walk baby (walk branco/marinho/verme 16);57,68;12;0;0;0
00614317;;tenis klin 453.106 walk baby (walk branco/marinho/verme 17);57,68;12;0;0;0
00614318;;tenis klin 453.106 walk baby (walk branco/marinho/verme 18);57,68;12;0;0;0
00614319;7909874161936;tenis klin 453.106 walk baby (walk branco/marinho/verme 19);57,68;12;0;0;0
00614320;7909874161943;tenis klin 453.106 walk baby (walk branco/marinho/verme 20);57,68;12;0;0;0
00614321;7909874161950;tenis klin 453.106 walk baby (walk branco/marinho/verme 21);57,68;12;0;0;0
00614322;7909874161967;tenis klin 453.106 walk baby (walk branco/marinho/verme 22);57,68;12;0;0;0
00614323;;tenis klin 453.106 walk baby (walk branco/marinho/verme 23);57,68;12;0;0;0
00614324;;tenis klin 453.106 walk baby (walk branco/marinho/verme 24);57,68;12;0;0;0
00614325;;tenis klin 453.106 walk baby (walk branco/marinho/verme 25);57,68;12;0;0;0
00614326;;tenis klin 453.106 walk baby (walk branco/marinho/verme 26);57,68;12;0;0;0
00614327;;tenis klin 453.106 walk baby (walk branco/marinho/verme 27);57,68;12;0;0;0
00621300;;mochila clio pets  cp24000d bombeiro vermelho (bombeiro vermelho un);19,34;12;0;0;0
00621400;7908040459488;mochila clio pets cp24000d kombi azul (kombi azul un);19,34;12;0;0;0
00624033;7890557699221;chinelo havaianas brasil azul naval (azul naval hav br 33/34);27,99;12;0;0;0
00624035;7890557699337;chinelo havaianas brasil azul naval (azul naval hav br 35/36);27,99;12;0;0;0
00624037;7891224443956;chinelo havaianas brasil azul naval (azul naval hav br 37/38);27,99;12;0;0;0
00624039;7890557699498;chinelo havaianas brasil azul naval (azul naval hav br 39/40);27,99;12;0;0;0
00624041;7890557699504;chinelo havaianas brasil azul naval (azul naval hav br 41/42);27,99;12;0;0;0
00624043;7890557699511;chinelo havaianas brasil azul naval (azul naval hav br 43/44);27,99;12;0;0;0
00624045;7890557699528;chinelo havaianas brasil azul naval (azul naval hav br 45/46);27,99;12;0;0;0
00624047;7890557699535;chinelo havaianas brasil azul naval (azul naval hav br 47/48);27,99;12;0;0;0
00624633;7895265145282;chinelo havaianas brasil branco (branco hav br 33/34);27,99;12;0;0;0
00624635;7895265145299;chinelo havaianas brasil branco (branco hav br 35/36);27,99;12;0;0;0
