gravidade;mlb;titulo;marca;modelo;cor_declarada;tamanho;sku;origem;agrupador;estoque_ml;status;diagnostico
CONFERIR;MLB5195209363;Chinelo Dedo Cartago 12432 Atlanta Ii Preto 40 Br;Cartago;12432 Atlanta II;Preto;40;00931640;chinelo dedo cartago 12432 atlanta ii (ay837 preto/bege 40);2366748-AY837PRETOBEGE;7;paused;"foto marrom escura; origem diz preto/bege"
CONFERIR;MLB5195209391;Chinelo Dedo Cartago 12432 Atlanta Ii Preto 41 Br;Cartago;12432 Atlanta II;Preto;41;00931641;chinelo dedo cartago 12432 atlanta ii (ay837 preto/bege 41);2366748-AY837PRETOBEGE;19;paused;"foto marrom escura; origem diz preto/bege"
CONFERIR;MLB7597400026;Chinelo Dedo Cartago 12432 Atlanta Ii Preto 43 Br;Cartago;12432 Atlanta II;Preto;43;00931643;chinelo dedo cartago 12432 atlanta ii (ay837 preto/bege 43/44);2366748-AY837PRETOBEGE;5;paused;"foto marrom escura; origem diz preto/bege"
CONFERIR;MLB5195209301;Chinelo Dedo Cartago 12432 Atlanta Ii Preto 44 Br;Cartago;12432 Atlanta II;Preto;44;00931643;chinelo dedo cartago 12432 atlanta ii (ay837 preto/bege 43/44);2366748-AY837PRETOBEGE;6;paused;"foto marrom escura; origem diz preto/bege"
CONFERIR;MLB5183571571;Chinelo Tamanco Modare 7142.106 Verde-musgo 35 Br;Modare;7142.106 NP/SEN FLEX;Verde-musgo;35;00939635;tamanco modare 7142.106 np/sen flex (102417 olivia/camel 35);2035241-102417OLIVIACAMEL;3;paused;"foto mostra preto/camel; origem diz ""olivia/camel"" - o rotulo Verde-musgo foi deduzido da palavra ""olivia"""
CONFERIR;MLB5183571631;Chinelo Tamanco Modare 7142.106 Verde-musgo 36 Br;Modare;7142.106 NP/SEN FLEX;Verde-musgo;36;00939636;tamanco modare 7142.106 np/sen flex (102417 olivia/camel 36);2035241-102417OLIVIACAMEL;2;paused;"foto mostra preto/camel; origem diz ""olivia/camel"" - o rotulo Verde-musgo foi deduzido da palavra ""olivia"""
CONFERIR;MLB5183584579;Chinelo Tamanco Modare 7142.106 Verde-musgo 37 Br;Modare;7142.106 NP/SEN FLEX;Verde-musgo;37;00939637;tamanco modare 7142.106 np/sen flex (102417 olivia/camel 37);2035241-102417OLIVIACAMEL;10;paused;"foto mostra preto/camel; origem diz ""olivia/camel"" - o rotulo Verde-musgo foi deduzido da palavra ""olivia"""
CONFERIR;MLB5183547569;Chinelo Tamanco Modare 7142.106 Verde-musgo 38 Br;Modare;7142.106 NP/SEN FLEX;Verde-musgo;38;00939638;tamanco modare 7142.106 np/sen flex (102417 olivia/camel 38);2035241-102417OLIVIACAMEL;5;paused;"foto mostra preto/camel; origem diz ""olivia/camel"" - o rotulo Verde-musgo foi deduzido da palavra ""olivia"""
CONFERIR;MLB5183547597;Chinelo Tamanco Modare 7142.106 Verde-musgo 39 Br;Modare;7142.106 NP/SEN FLEX;Verde-musgo;39;00939639;tamanco modare 7142.106 np/sen flex (102417 olivia/camel 39);2035241-102417OLIVIACAMEL;2;paused;"foto mostra preto/camel; origem diz ""olivia/camel"" - o rotulo Verde-musgo foi deduzido da palavra ""olivia"""
FOTO ERRADA;MLB7597400976;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 34 Br;Actvitta;4862.100 EVA;Rosa-claro;34;01072034;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 34);2647725-110395blushrosa;1;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB5195223137;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 35 Br;Actvitta;4862.100 EVA;Rosa-claro;35;01072035;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 35);2647725-110395blushrosa;2;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB5195223159;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 37 Br;Actvitta;4862.100 EVA;Rosa-claro;37;01072037;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 37);2647725-110395blushrosa;3;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB5195210385;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 38 Br;Actvitta;4862.100 EVA;Rosa-claro;38;01072038;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 38);2647725-110395blushrosa;3;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB5195223123;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 39 Br;Actvitta;4862.100 EVA;Rosa-claro;39;01072039;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 39);2647725-110395blushrosa;1;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB7597400996;Chinelo Slide Feminino Actvitta Eva 4862.100 Rosa-claro 40 Br;Actvitta;4862.100 EVA;Rosa-claro;40;01072040;chinelo slide feminino actvitta 4862.100 eva (110395 blush/rosa 40);2647725-110395blushrosa;1;paused;"foto e um slide PRETO; origem diz blush/rosa"
FOTO ERRADA;MLB7584846302;Chinelo Havaianas Brasil Amarelo 33 Br;Havaianas;BRASIL;Amarelo;33;01067333;chinelo dedo havaianas brasil (1288 amarelo pop marinho 33/34);2362313-1288amarelopopmarinho;1;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584846334;Chinelo Havaianas Brasil Amarelo 34 Br;Havaianas;BRASIL;Amarelo;34;01067333;chinelo dedo havaianas brasil (1288 amarelo pop marinho 33/34);2362313-1288amarelopopmarinho;2;paused;"foto e rosa; origem diz amarelo pop/marinho"
