codigo;titulo;marca;preco;custo;margem_bruta_pct;estoque;tamanhos;com_ean;com_custo
2650850;Chinelo Dedo Feminino Havaianas Slim Glitter II;Havaianas;89.9;36.72;59.2;61;15;15;5
2548926;Tênis Feminino Casual Modare 7401.102 London;Modare;242.9;107.12;55.9;68;22;21;22
2673337;Tenis Casual Feminino Modare Suprema 7401.104;Modare;226.9;0;;24;8;6;0
2673330;Papete Slide Feminino Rosa Ortopédica Modare Micro Perfuros;Modare;147.9;0;;64;8;7;0
2673313;Papete Slide Feminino Modare 7208.101;Modare;152.9;0;;626;32;28;0
2669797;Tenis Sport Infantil Menina Molekinha 2584.214 Kansas;Molekinha;184.9;79.64;56.9;24;22;18;22
2487172;Bolsa infantil menina Molekinha 20019.2 Lurex;Molekinha;120.9;51.59;57.3;8;2;2;2
2670378;Chinelo Havaianas Top Liso Branco com Piercing Cereja;Havaianas;84.9;32.0;62.3;42;7;0;7
2664229;Chinelo Dedo Baby Menino Rider Preto 12674;Rider;36.9;14.03;62.0;65;7;6;7
2664228;Chinelo Dedo Baby Menina Rider Rosa 12674;Rider;36.9;14.03;62.0;23;7;6;7
2657245;Tenis Casual Feminino Modare Suprema 7417.102 branco/bege;Modare;300.9;135.73;54.9;10;8;7;8
2644016;Sandalia Papete Feminino Modare London 7200.113;Modare;184.9;84.17;54.5;34;16;14;16
2607927;Chinelo Baby Dedo Masculino Havaianas Brasil Logo BM blog;Havaianas;60.9;25.99;57.3;58;14;14;14
2664065;Chinelo Slide Masculino Rider 12529 R Soft Plus;Rider;163.9;70.15;57.2;43;14;14;14
2667102;Chinelo Dedo Feminino Ipanema 27573 Shine Pin;Ipanema;41.9;16.37;60.9;69;18;18;18
2664154;Sandalia Papete Feminino Ipanema 27572 Shine;Ipanema;57.9;23.38;59.6;103;18;18;18
2660653;Sandalia Plataforma Feminino Zaxy Conectada;Zaxy;194.9;84.2;56.8;43;12;12;12
2620862;;Cartago;62.9;24.61;60.9;47;8;8;8
2600712;;Cartago;88.9;34.46;61.2;33;14;12;14
2666713;;Cartago;46.9;18.71;60.1;83;14;8;14
2666608;;Cartago;78.9;32.73;58.5;120;14;12;14
2664207;;Cartago;110.9;46.77;57.8;120;14;12;14
2604780;;Cartago;120.9;49.24;59.3;53;14;12;14
2600635;;Cartago;64.9;25.73;60.4;99;14;12;14
2600630;;Cartago;53.9;21.04;61.0;40;12;12;12
2544990;;Cartago;99.9;42.09;57.9;47;8;8;8
2392305;;Cartago;61.9;29.69;52.0;35;14;12;14
2368040;;Cartago;89.9;37.41;58.4;129;21;19;21
2366748;;Cartago;46.9;19.79;57.8;99;12;12;12
2366747;;Cartago;46.9;19.69;58.0;77;12;12;12
2366259;;Cartago;78.9;29.53;62.6;70;14;12;14
2635581;;Havaianas;83.9;25.51;69.6;34;5;3;5
2650838;;Havaianas;46.9;20.94;55.4;72;15;15;15
2561540;;Havaianas;84.9;40.51;52.3;39;17;15;17
2398392;;Havaianas;39.9;15.99;59.9;29;14;10;14
2362304;;Havaianas;36.9;14.81;59.9;240;24;22;24
2583322;Chinelo Infantil Menino Cartago 12625 Palermo;Cartago;60.9;24.61;59.6;110;10;7;10
2388326;Chinelo Slide Under Armour 3027787;Under Armour;163.9;58.3;64.4;83;18;16;18
2659428;Babuche Infantil Menina Kidstep Capivara 2169.109;KIDSTEP;46.9;7.75;83.5;20;13;0;13
2658077;Tenis Sport Feminino Actvitta Australia 4863.302 p;Actvitta;396.9;172.11;56.6;14;8;7;8
2658055;;Actvitta;226.9;98.06;56.8;19;16;14;16
2647725;;Actvitta;99.9;47.01;52.9;33;24;24;24
2655011;;Actvitta;269.9;116.66;56.8;14;8;7;8
2658078;;Actvitta;385.9;167.7;56.5;12;8;7;8
2658119;;Actvitta;194.9;75.03;61.5;21;22;18;22
2656876;;Actvitta;406.9;176.71;56.6;11;9;8;9
2657927;;Actvitta;417.9;181.11;56.7;13;9;8;9
2659414;;KIDSTEP;46.9;7.75;83.5;22;6;0;6
2659413;;KIDSTEP;46.9;7.75;83.5;18;6;0;6
2659429;;KIDSTEP;46.9;7.75;83.5;14;6;0;6
2659430;;KIDSTEP;46.9;7.75;83.5;26;12;0;12
2659431;;KIDSTEP;46.9;7.75;83.5;16;6;0;6
2659766;Papete Slide Feminino Modare Nobuck Onça 7208.101;Modare;152.9;66.19;56.7;196;24;20;24
2585111;Babuche LED Infantil Molekinho 2874.407;Molekinho;141.9;61.14;56.9;136;10;10;10
2651931;Tamanco Plataforma Feminino Modare 7226.102;Modare;163.9;70.78;56.8;39;16;14;16
2652172;Tamanco Plataforma Feminino Modare 7226;Modare;163.9;70.78;56.8;48;16;14;16
2544386;Chinelo Dedo Ipanema 27507 Pluma;Ipanema;41.9;20.54;51.0;59;18;18;18
2358786;Chinelo Havaianas Elegance Liso;Havaianas;30.9;15.7;49.2;16;13;10;13
2389096;Chinelo Slim Havaianas Elegance Print;Havaianas;47.9;20.51;57.2;27;10;5;10
2398720;Chinelo Slim Havaianas Palette Glow;Havaianas;76.9;38.16;50.4;65;12;9;12
2526416;Chinelo Dedo Havaianas Top Herois;Havaianas;78.9;27.48;65.2;67;8;4;8
2389164;Chinelo Havaianas Top Surfer;Havaianas;74.9;30.36;59.5;18;5;4;5
2546287;Chinelo Havaianas Top Summer Vibes;Havaianas;63.9;24.99;60.9;23;10;10;10
2364666;Chinelo Havaianas Power 2.0 cinza;Havaianas;78.9;43.44;44.9;64;22;21;22
2398721;Chinelo Havaianas Slim Tropical;Havaianas;84.9;36.63;56.9;77;14;8;14
2363740;Chinelo Havaianas Top Athletic;Havaianas;53.9;0;;112;15;15;0
2393120;Chinelo Havaianas Top Basic;Havaianas;61.9;26.65;56.9;58;14;10;14
2564876;Chinelo Masculino Havaianas Top Athletic FC;Havaianas;57.9;20.94;63.8;40;8;5;8
2363789;Chinelo Havaianas Top Basic;Havaianas;46.9;23.55;49.8;50;21;18;21
2363772;Chinelo Havaianas Aloha;Havaianas;59.9;28.25;52.8;67;15;15;15
2391440;Chinelo Havaianas Slim Point point ferrungem/smok gree;Havaianas;84.9;45.17;46.8;27;35;18;35
2363773;Chinelo Havaianas Dual BRANCO CINZA GELO;Havaianas;74.9;36.63;51.1;33;26;26;26
2548526;Chinelo Slide Molekinho 2417.100 Slide Eva;Molekinho;67.9;28.23;58.4;97;10;10;10
2546293;Babuche Molekinho 2874.202 Gaspea Eva;Molekinho;99.9;42.61;57.3;221;14;10;14
2545490;Sandália Infantil Ipanema 27403;Ipanema;45.9;17.23;62.5;216;15;14;15
2605637;Sandalia Infantil Molekinho 2135.137;Molekinho;78.9;29.61;62.5;80;30;24;20
2642786;Chinelo Havaianas Top Liso com Piercing Feminino Original;Havaianas;82.9;30.58;63.1;145;37;0;37
2481816;Babuche Molekinha 2591.103 Injetada EVA;Molekinha;99.9;43.54;56.4;216;20;18;20
2560576;Babuche Infantil Molekinha 22591.408 Arco Iris;Molekinha;141.9;54.16;61.8;74;7;6;7
2640305;Papete Slide Modare Micr Perf Suprem;Modare;119.99;61.02;49.1;18;7;7;7
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;119.99;61.54;48.7;1019;40;35;40
2640234;Papete Slide Feminina Moleca Suprema 5490.132;Moleca;110.9;49.06;55.8;34;16;14;16
2640603;Babuche EVA Yvate Faixa 1816;Yvate;78.9;29.5;62.6;37;6;0;6
2640602;Babuche EVA Yvate Faixa 1816;Yvate;78.9;29.5;62.6;49;10;0;10
2640259;Chinelo Slide Feminino Nuvem Zaxy Air 19419;Zaxy;110.9;44.31;60.0;64;18;18;18
2640553;Babuche Plataforma Yvate Liso 2502;Yvate;99.9;37.9;62.1;19;12;0;12
2588141;Chinelo Rasteira Feminino Slide Modare 7162.330;Modare;110.9;44.47;59.9;24;17;14;17
2620426;Papete Slide Feminina Zaxy 19359;Zaxy;104.9;44.31;57.8;22;12;12;12
2604605;Tamanco Feminino Anabela Modare 7151.115;Modare;157.9;68.49;56.6;39;16;15;16
2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;89.9;37.54;58.2;54;24;24;24
2545583;Babuche Moleca 5832.100;Moleca;99.9;38.84;61.1;36;24;19;24
2349858;Bolsa Moleca 50007.1 Casual Gorgurão;Moleca;120.9;46.56;61.5;13;6;6;4
2550276;Babuche LED Infantil Molekinho 2874.40;Molekinho;120.9;53.48;55.8;24;14;10;14
2619942;Papete Slide Feminina Moleca 5500.125;Moleca;179.9;78.29;56.5;27;16;14;16
2347549;Bolsa Moleca Zíper Neo Gorgurão 50048.3;Moleca;141.9;56.04;60.5;10;6;6;3
2626343;Tenis Casual Feminina Modare 7416.202;Modare;226.9;97.72;56.9;4;8;7;8
2626342;Tenis Casual Feminina Modare 7416.100;Modare;216.9;90.98;58.1;29;8;7;8
2581241;Tênis Actvitta Feminino Confortável Leve Academia Corrida;Actvitta;274.9;116.66;57.6;17;7;7;7
2545565;Tenis Actvitta Feminino Casual Conforto Light Foam Pro Macio;Actvitta;274.9;116.66;57.6;24;7;7;7
2361827;Chinelo Havaianas Top Liso TOP;Havaianas;46.9;19.99;57.4;369;59;53;59
2360426;Chinelo Havaianas Slim Liso - chinelo dedo havaianas slim liso;Havaianas;53.9;24.52;54.5;230;119;81;119
2387439;Chinelo Havaianas Top Tiras;Havaianas;46.9;19.99;57.4;251;20;11;20
2362313;Chinelo Havaianas Brasil;Havaianas;73.9;27.99;62.1;319;40;38;40
2358805;Chinelo Havaianas Brasil;Havaianas;68.9;32.97;52.1;75;69;47;69
2526967;Tamanco Feminino Modare Slide Conforto Lançamento Original;Modare;173.9;78.29;55.0;9;12;10;12
2447312;Tamanco Feminino Modare Slide Conforto Lançamento Original;Modare;173.9;79.31;54.4;29;12;12;12
2609529;Tamanco Modare Sandalia Ortopedica feminina Ultra Conforto;Modare;152.9;68.49;55.2;52;16;16;16
2608308;Sandalia Salto Bloco Feminina Modare 7187.100;Modare;179.9;78.29;56.5;32;16;14;16
2358788;Tênis Masculino Calce Facil Casual Slip On Macio Actvitta;Actvitta;216.9;82.49;62.0;55;18;15;18
2601358;Papete Slide Feminino Beira Rio 8488.122;Beira Rio;110.9;45.0;59.4;20;9;9;9
2598698;Chinelo Rasteira Feminina Slide Vizzano;Vizzano;88.9;36.2;59.3;17;21;21;21
2581596;Chinelo Tamanco Modare 7142.106;Modare;115.9;49.7;57.1;1;9;8;9
2340253;Chinelo Tamanco Modare 7142.106;Modare;110.9;41.41;62.7;11;18;16;18
2035241;Chinelo Tamanco Modare 7142.106;Modare;110.9;47.53;57.1;191;50;46;50
2568442;Rasteira Feminina Vizzano 6371.1005;Vizzano;131.9;56.26;57.3;30;21;21;21
2568459;Rasteira Feminina Vizzano 6553.101;Vizzano;104.9;44.47;57.6;4;14;14;14
2606511;Chinelo Feminino Square Havaianas Jelly jel buttercream;Havaianas;83.9;27.48;67.2;104;15;9;15
2387850;Sandalia Salto Bloco Feminina Modare 7187.100;Modare;179.9;79.31;55.9;59;34;33;34
2608307;Papete Slide Feminina Moleca 5556.100;Moleca;136.9;59.08;56.8;8;8;7;8
2606513;Sandália Slim Square Glitter Contour Havaianas;Havaianas;89.9;31.4;65.1;42;10;5;10
2359737;Chinelo Havaianas Slim Square Feminino Original;Havaianas;57.9;29.47;49.1;141;39;29;39
2606512;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho;Havaianas;89.9;31.4;65.1;97;15;10;15
2601946;Tênis Feminino Calce Facil Casual Slip On Macio Actvitta;Actvitta;216.9;78.43;63.8;80;14;13;14
2581614;Chinelo Tamanco Slide Feminino Modare 7142.101;Modare;120.9;49.06;59.4;44;30;24;30
2400168;Chinelo Tamanco Slide Feminino Modare 7142.101;Modare;120.9;46.94;61.2;3;8;7;8
