agrupador;produto;cor;pares;cores_produto;fotos_total_produto;cores_com_pasta;sobra;veredito
2360426-SLPINKFEVER;Chinelo Havaianas Slim Liso;sl pink fever 33/34;39;16;63;1;55;investigar pasta da cor irma
2360426-SLBRANCO;Chinelo Havaianas Slim Liso;sl branco 33/34;35;16;63;1;55;investigar pasta da cor irma
2360426-rosagumrosagummetal;Chinelo Havaianas Slim Liso;rosa gum/rosa gum metal 33/34;27;16;63;1;55;investigar pasta da cor irma
2360426-wildlime;Chinelo Havaianas Slim Liso;wild lime 33/34;27;16;63;1;55;investigar pasta da cor irma
2360426-SLPRETO;Chinelo Havaianas Slim Liso;sl preto 33/34;24;16;63;1;55;investigar pasta da cor irma
2360426-SLROSEGOLD;Chinelo Havaianas Slim Liso;sl rose gold 33/34;20;16;63;1;55;investigar pasta da cor irma
2360426-laranjasunsetslimlis;Chinelo Havaianas Slim Liso;laranja sunset slim lis 33/34;14;16;63;1;55;investigar pasta da cor irma
2360426-SLROSABALLET;Chinelo Havaianas Slim Liso;sl rosa ballet 33/34;13;16;63;1;55;investigar pasta da cor irma
2360426-rosachiffonsllis;Chinelo Havaianas Slim Liso;rosa chiffon sl lis 33/34;13;16;63;1;55;investigar pasta da cor irma
2360426-SLAREIADOURADO;Chinelo Havaianas Slim Liso;sl areia/dourado 33/34;9;16;63;1;55;investigar pasta da cor irma
2360426-SLIMLISOVERDEMATCHA;Chinelo Havaianas Slim Liso;slim liso verde matcha 33/34;3;16;63;1;55;investigar pasta da cor irma
2360426-sllisazulbrilhante;Chinelo Havaianas Slim Liso;sl lis azul brilhante 33/34;3;16;63;1;55;investigar pasta da cor irma
2360426-SLIMLISOPESSEGO;Chinelo Havaianas Slim Liso;slim liso pessego 33/34;1;16;63;1;55;investigar pasta da cor irma
2361827-TOPLMARINHO;Chinelo Havaianas Top Liso;top l marinho 33/34;32;8;51;1;43;investigar pasta da cor irma
2361827-vermelhoapachetopli;Chinelo Havaianas Top Liso;vermelho apache top li 33/34;15;8;51;1;43;investigar pasta da cor irma
2361827-TOPLISOCINZAACO;Chinelo Havaianas Top Liso;top liso cinza aco 33/34;1;8;51;1;43;investigar pasta da cor irma
2035241-7142.106-CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;7142.106 - CAMEL 1165 33;51;6;41;1;33;investigar pasta da cor irma
2035241-96782.PRETO01CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;96782.PRETO 01/CAMEL 1165 33;47;6;41;1;33;investigar pasta da cor irma
2035241-96783.NUDE658CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;96783.NUDE 658/CAMEL1165 33;46;6;41;1;33;investigar pasta da cor irma
2035241-102465avelacamelt;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;102465 avela/camel t 33;24;6;41;1;33;investigar pasta da cor irma
