ordem;codigo;titulo;marca;preco_tiktok;custo;margem_bruta_pct;faixa;estoque;valor_estoque;tamanhos;com_ean;peso_kg;pendencias;fotos
1;2585111;Babuche LED Infantil Molekinho 2874.407;Molekinho;141.9;61.14;56.9;>= R$79;136;19298.4;10;10;0.35;-;22
2;2660653;Sandalia Plataforma Feminino Zaxy Conectada;Zaxy;194.9;84.2;56.8;>= R$79;43;8380.7;12;12;0.5;-;24
3;2609529;Tamanco Modare Sandalia Ortopedica feminina Ultra Conforto;Modare;152.9;68.49;55.2;>= R$79;52;7950.8;16;16;0.6;-;0
4;2640259;Chinelo Slide Feminino Nuvem Zaxy Air 19419;Zaxy;110.9;44.31;60.0;>= R$79;64;7097.6;18;18;0.32;-;15
5;2664065;Chinelo Slide Masculino Rider 12529 R Soft Plus;Rider;163.9;70.15;57.2;>= R$79;43;7047.7;14;14;0.6;-;16
6;2545565;Tenis Actvitta Feminino Casual Conforto Light Foam Pro Macio;Actvitta;274.9;116.66;57.6;>= R$79;24;6597.6;7;7;0.62;-;7
7;2650850;Chinelo Dedo Feminino Havaianas Slim Glitter II;Havaianas;89.9;36.72;59.2;>= R$79;61;5483.9;15;15;0.23;-;0
8;2447312;Tamanco Feminino Modare Slide Conforto Lançamento Original;Modare;173.9;79.31;54.4;>= R$79;29;5043.1;12;12;0.65;-;26
9;2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;89.9;37.54;58.2;>= R$79;54;4854.6;24;24;0.6;-;14
10;2544990;;Cartago;99.9;42.09;57.9;>= R$79;47;4695.3;8;8;0.56;sem titulo na exportacao;4
11;2581241;Tênis Actvitta Feminino Confortável Leve Academia Corrida;Actvitta;274.9;116.66;57.6;>= R$79;17;4673.3;7;7;0.6;-;0
12;2568442;Rasteira Feminina Vizzano 6371.1005;Vizzano;131.9;56.26;57.3;>= R$79;30;3957.0;21;21;0.41;-;17
13;2647725;;Actvitta;99.9;47.01;52.9;>= R$79;33;3296.7;24;24;0.21;sem titulo na exportacao;12
14;2620426;Papete Slide Feminina Zaxy 19359;Zaxy;104.9;44.31;57.8;>= R$79;22;2307.8;12;12;0.31;-;15
15;2601358;Papete Slide Feminino Beira Rio 8488.122;Beira Rio;110.9;45.0;59.4;>= R$79;20;2218.0;9;9;0.415;-;0
16;2640305;Papete Slide Modare Micr Perf Suprem;Modare;119.99;61.02;49.1;>= R$79;18;2159.82;7;7;0.58;-;0
17;2349858;Bolsa Moleca 50007.1 Casual Gorgurão;Moleca;120.9;46.56;61.5;>= R$79;13;1571.7;6;6;0.55;-;36
18;2598698;Chinelo Rasteira Feminina Slide Vizzano;Vizzano;88.9;36.2;59.3;>= R$79;17;1511.3;21;21;0.38;-;18
19;2347549;Bolsa Moleca Zíper Neo Gorgurão 50048.3;Moleca;141.9;56.04;60.5;>= R$79;10;1419.0;6;6;0.65;-;12
20;2487172;Bolsa infantil menina Molekinha 20019.2 Lurex;Molekinha;120.9;51.59;57.3;>= R$79;8;967.2;2;2;0.31;-;9
21;2568459;Rasteira Feminina Vizzano 6553.101;Vizzano;104.9;44.47;57.6;>= R$79;4;419.6;14;14;0.5;-;20
22;2344016;Papete Slide Modare 7208.101 Nobuck;Modare;119.99;61.54;48.7;>= R$79;1019;122269.81;40;35;0.56;EAN faltando em 5 de 40 tamanhos;0
23;2659766;Papete Slide Feminino Modare Nobuck Onça 7208.101;Modare;152.9;66.19;56.7;>= R$79;196;29968.4;24;20;0.57;EAN faltando em 4 de 24 tamanhos;0
24;2362313;Chinelo Havaianas Brasil;Havaianas;73.9;27.99;62.1;< R$79;319;23574.1;40;38;0.36;"EAN faltando em 2 de 40 tamanhos; preco < R$79: frete gratis subsidiado nao se aplica";20
25;2546293;Babuche Molekinho 2874.202 Gaspea Eva;Molekinho;99.9;42.61;57.3;>= R$79;221;22077.9;14;10;0.5;EAN faltando em 4 de 14 tamanhos;16
26;2481816;Babuche Molekinha 2591.103 Injetada EVA;Molekinha;99.9;43.54;56.4;>= R$79;216;21578.4;20;18;0.57;EAN faltando em 2 de 20 tamanhos;25
27;2035241;Chinelo Tamanco Modare 7142.106;Modare;110.9;47.53;57.1;>= R$79;191;21181.9;50;46;0.65;EAN faltando em 4 de 50 tamanhos;41
28;2601946;Tênis Feminino Calce Facil Casual Slip On Macio Actvitta;Actvitta;216.9;78.43;63.8;>= R$79;80;17352.0;14;13;0.45;EAN faltando em 1 de 14 tamanhos;22
