codigo,descricao,qtde,preco,custo,ult_aquisicao,markup
006032,1357 MOCHILA DIVERSOS,3,131.9,29.04,/  /,354.2
005930,1678 SACOLA DE VIAGEM DIVERSOS,1,57.94,28.97,/  /,100.0
005946,2231 MOCHILA DIVERSOS,1,77.48,38.74,/  /,100.0
001165,BABUCHE BOA ONDA 1716 JOHN 100-05,6,119.9,56.04,11/05/26,113.95
009937,BABUCHE BOAONDA 1716 JOHN 011 CLASSIC,3,119.9,56.04,11/05/26,113.95
007897,BABUCHE BOAONDA 1944.208 BRAVE 0993 BLUE/PITANGA,1,149.9,68.38,11/04/25,119.22
008439,BABUCHE BOAONDA 1944.208 BRAVE 001 BRAVE,8,149.9,70.07,26/05/26,113.93
008438,BABUCHE BOAONDA 1944.208 BRAVE 006 BRAVE,10,149.9,70.07,26/05/26,113.93
009730,BABUCHE BOAONDA 2402-110 EASY 002 CLASSIC BLUE,1,59.99,27.99,04/12/25,114.33
009731,BABUCHE BOAONDA 2402-110 EASY 004 GOIABA EASY,5,59.99,27.99,04/12/25,114.33
009732,BABUCHE BOAONDA 2402-110 EASY 005 ROSE NUDE,4,59.99,27.99,04/12/25,114.33
009728,BABUCHE BOAONDA 2402-211 EASY 001 LILAS/ROSE,2,79.99,37.34,04/12/25,114.22
009738,BABUCHE BOAONDA 2402-212 EASY 002 ROSE NUDE/SKY,2,89.9,42.01,04/12/25,114.0
009740,BABUCHE BOAONDA 2402-213 EASY M 002,5,89.9,42.01,04/12/25,114.0
009739,BABUCHE BOAONDA 2402-213 EASY M 001 BRANCO/PRETO,1,89.9,42.01,04/12/25,114.0
009071,BABUCHE BOAONDA 2402 CLASSIC 110/004 GOIABA,1,69.9,27.44,01/12/25,154.74
009736,BABUCHE BOAONDA 2439-110 STAR M 002 CALISSIC,3,129.9,60.72,09/06/25,113.93
007862,BABUCHE BOAONDA 3539.1317 TR 4133 ACAI,2,89.9,28.62,/  /,214.12
007874,BABUCHE BOAONDA 4178.1317 2431 ROSE,5,89.9,30.82,/  /,191.69
002360,BABUCHE CLEAR LED WBOYS WORD BABUCHE,1,89.99,39.9,/  /,125.54
009938,BABUCHE EVA BOAONDA 2422.101 001 PRETO/PRETO,1,134.9,51.37,04/08/25,162.6
009939,BABUCHE EVA BOAONDA 2422.211 001 PRETO/CREPE,1,134.9,62.13,11/05/26,117.13
010395,BABUCHE EVA BOAONDA 2422.211 002 SELVA/CREPE,25,134.9,60.72,26/05/26,122.17
010626,BABUCHE EVA YVATE 1816 FAIXA F FAI BEGE,16,69.9,29.5,29/05/26,136.95
010627,BABUCHE EVA YVATE 1816 FAIXA M FAI PRETO,24,69.9,29.5,29/05/26,136.95
008894,BABUCHE KEMO 10/02 BABY MENINO 10/02K/BAB PRETO,4,59.99,27.88,15/07/25,115.17
010401,BABUCHE LED MOLEKINHA 2591.113 PRETO LED,3,134.9,61.02,04/02/26,121.08
010402,BABUCHE LED MOLEKINHA 2591.113 ROSA EVA,5,134.9,61.02,04/02/26,121.08
010456,BABUCHE LED MOLEKINHO 2874.407 105739,76,134.9,58.59,22/06/26,130.24
010457,BABUCHE LED MOLEKINHO 2874.407 102997,77,134.9,58.59,22/06/26,130.24
010248,BABUCHE MOLECA 5832.100 PVC BAB BRANCO OFF,16,89.9,43.54,14/11/25,106.48
010249,BABUCHE MOLECA 5832.100 PVC BAB PRETO 01,22,89.9,38.84,16/04/26,131.46
010250,BABUCHE MOLECA 5832.100 PVC BAB CHOCOLATE,11,89.9,43.54,14/11/25,106.48
010405,BABUCHE MOLEKINHA 22591.408 ARCO CREME/MULTICOLOR/,94,129.9,54.16,22/06/26,139.84
009942,BABUCHE MOLEKINHA 2591.100 INJET 78276 PINK 1126,2,79.9,38.9,17/11/25,105.4
009943,BABUCHE MOLEKINHA 2591.103 INJT 15745 PRETO 01,112,99.9,40.77,22/06/26,145.03
009944,BABUCHE MOLEKINHA 2591.103 INJT 78276 ROSA 942,9,99.9,43.54,27/03/26,129.44
