"Id Anuncio";"Código Marketplace";"Id Marketplace";"Conf. Loja Marketplace";Loja;"Id Derivação";"Código Produto";Produto;Derivação;Título;EAN;"Id Preço";"Preço Antigo";Preço;"Preço Custo Médio";"Preço Custo Atual";Estoque;"Redutor Estoque";"Sit. Envio";Ativo;"Prazo Expedição";"Origem Prazo Expedição";"Data Envio";
1186;1737327062323660117;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63012;2650850;"Chinelo Dedo Feminino Havaianas Slim Glitter II";;"Chinelo Dedo Feminino Havaianas Slim Glitter II";;31367;0,00;89,90;0,00;0,00;61;1;Enviado;Sim;0;;"02/09/2026 14:54:08";https://shop.tiktok.com/view/product/1737327062323660117?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1185;1737325768600880469;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";57384;2548926;"Tênis Modare 7401.102 London";;"Tênis Feminino Casual Modare 7401.102 London";;31366;0,00;242,90;0,00;0,00;68;1;Enviado;Sim;0;;"02/09/2026 12:01:19";https://shop.tiktok.com/view/product/1737325768600880469?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1184;1737310464371426645;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";65448;2673337;"Tenis Casual Feminino Modare Suprema 7401.104";;"Tenis Casual Feminino Modare Suprema 7401.104";;31350;0,00;226,90;0,00;0,00;24;1;Enviado;Sim;0;;"01/09/2026 13:41:21";https://shop.tiktok.com/view/product/1737310464371426645?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1183;1737308306636899669;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";65432;2673330;"Papete Slide Feminino Modare Micr Perf s 7208.101";;"Papete Slide Feminino Rosa Ortopédica Modare Micro Perfuros";;31341;0,00;147,90;0,00;0,00;64;1;Enviado;Sim;0;;"01/09/2026 09:55:03";https://shop.tiktok.com/view/product/1737308306636899669?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1182;1737294647402399061;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";65373;2673313;"Papete Slide Feminino Modare Tresse 7208.101";;"Papete Slide Feminino Modare 7208.101";;31340;0,00;152,90;0,00;0,00;626;1;Enviado;Sim;0;;"31/08/2026 16:36:52";https://shop.tiktok.com/view/product/1737294647402399061?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1181;1737288534349481301;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";65152;2669797;"Tenis Sport Infantil Molekinha 2584.214 Kansas";;"Tenis Sport Infantil Menina Molekinha 2584.214 Kansas";;31291;0,00;184,90;0,00;0,00;24;1;Enviado;Sim;0;;"31/08/2026 09:20:18";https://shop.tiktok.com/view/product/1737288534349481301?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1180;1737241570504705365;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";53419;2487172;"Bolsa Molekinha 20019.2 Lurex";;"Bolsa infantil menina Molekinha 20019.2 Lurex";;31179;0,00;120,90;0,00;0,00;8;1;Enviado;Sim;0;;"27/08/2026 14:57:52";https://shop.tiktok.com/view/product/1737241570504705365?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1179;1737225644593349973;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";65183;2670378;"Chinelo Customizado Havaianas Top Liso+Cereja+Logo";;"Chinelo Havaianas Top Liso Branco com Piercing Cereja";;31174;0,00;84,90;0,00;0,00;42;1;Enviado;Sim;0;;"26/08/2026 13:34:47";https://shop.tiktok.com/view/product/1737225644593349973?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1178;1737225464745526613;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64757;2664229;"Chinelo Dedo Baby Menino Rider 12674 Core M";;"Chinelo Dedo Baby Menino Rider Preto 12674";;31173;0,00;36,90;0,00;0,00;65;1;Enviado;Sim;0;;"26/08/2026 13:12:38";https://shop.tiktok.com/view/product/1737225464745526613?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1177;1737225393324524885;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64758;2664228;"Chinelo Dedo Baby Menina Rider 12674 Core F";;"Chinelo Dedo Baby Menina Rider Rosa 12674";;31172;0,00;36,90;0,00;0,00;23;1;Enviado;Sim;0;;"26/08/2026 13:07:20";https://shop.tiktok.com/view/product/1737225393324524885?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1176;1737224708019946837;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63662;2657245;"Tenis Casual Feminino Modare Suprema 7417.102";;"Tenis Casual Feminino Modare Suprema 7417.102 branco/bege";;31164;0,00;300,90;0,00;0,00;10;1;Enviado;Sim;0;;"26/08/2026 12:09:50";https://shop.tiktok.com/view/product/1737224708019946837?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1175;1737192458254058837;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";62167;2644016;"Sandalia Papete Feminino Modare London 7200.113";;"Sandalia Papete Feminino Modare London 7200.113";;31124;0,00;184,90;0,00;0,00;34;1;Enviado;Sim;0;;"24/08/2026 10:07:23";https://shop.tiktok.com/view/product/1737192458254058837?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1174;1737155429703124309;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60971;2607927;"Chinelo Baby Dedo Masculino Havaianas Brasil Logo BM";;"Chinelo Baby Dedo Masculino Havaianas Brasil Logo BM blog";;31097;0,00;60,90;0,00;0,00;58;1;Enviado;Sim;0;;"21/08/2026 19:57:45";https://shop.tiktok.com/view/product/1737155429703124309?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1173;1737151457974322517;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64588;2664065;"Chinelo Slide Masculino Rider 12529 R Soft Plus";;"Chinelo Slide Masculino Rider 12529 R Soft Plus";;31096;0,00;163,90;0,00;0,00;43;1;Enviado;Sim;0;;"21/08/2026 11:22:43";https://shop.tiktok.com/view/product/1737151457974322517?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1172;1737151409206756693;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64917;2667102;"Chinelo Dedo Feminino Ipanema 27573 Shine Pin";;"Chinelo Dedo Feminino Ipanema 27573 Shine Pin";;31095;0,00;41,90;0,00;0,00;69;1;Enviado;Sim;0;;"21/08/2026 11:14:34";https://shop.tiktok.com/view/product/1737151409206756693?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1171;1737151371348444501;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64632;2664154;"Sandalia Papete Feminino Ipanema 27572 Shine";;"Sandalia Papete Feminino Ipanema 27572 Shine";;31094;0,00;57,90;0,00;0,00;103;1;Enviado;Sim;0;;"21/08/2026 11:10:37";https://shop.tiktok.com/view/product/1737151371348444501?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1170;1737137634324874581;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64516;2660653;"Sandalia Plataforma Feminino Zaxy Conectada Up19409";;"Sandalia Plataforma Feminino Zaxy Conectada";;31058;0,00;194,90;0,00;0,00;43;1;Enviado;Sim;0;;"20/08/2026 14:59:28";https://shop.tiktok.com/view/product/1737137634324874581?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1169;1737155418534151509;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61308;2620862;"Chinelo Infantil Dedo Cartago 11858 Alabama Ki";;;;31035;0,00;62,90;0,00;0,00;47;1;Enviado;Sim;0;;"21/08/2026 19:55:47";https://shop.tiktok.com/view/product/1737155418534151509?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1161;1737155434681566549;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60249;2600712;"Chinelo Masculino Cartago 12612 Belgrado";;;;31027;0,00;88,90;0,00;0,00;33;1;Enviado;Sim;0;;"21/08/2026 19:56:37";https://shop.tiktok.com/view/product/1737155434681566549?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1153;1737155417854543189;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64873;2666713;"Chinelo Dedo Masculino Cartago 12777 Lugano";;;;31019;0,00;46,90;0,00;0,00;83;1;Enviado;Sim;0;;"21/08/2026 19:54:06";https://shop.tiktok.com/view/product/1737155417854543189?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1152;1737151397723145557;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64840;2666608;"Chinelo Dedo Masculino Cartago 12706 Ravena";;;;31018;0,00;78,90;0,00;0,00;120;1;Enviado;Sim;0;;"21/08/2026 11:17:06";https://shop.tiktok.com/view/product/1737151397723145557?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1151;1737155417447892309;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64711;2664207;"Chinelo Dedo Masculino Cartago 12578 Sintra";;;;31017;0,00;110,90;0,00;0,00;120;1;Enviado;Sim;0;;"21/08/2026 19:52:34";https://shop.tiktok.com/view/product/1737155417447892309?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1150;1737155404805277013;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60654;2604780;"Chinelo Dedo Masculino Cartago 12632 Denver";;;;31016;0,00;120,90;0,00;0,00;53;1;Enviado;Sim;0;;"21/08/2026 19:55:10";https://shop.tiktok.com/view/product/1737155404805277013?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1149;1737155393667695957;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60204;2600635;"Chinelo Cartago Masculino 12640 Durban";;;;31015;0,00;64,90;0,00;0,00;99;1;Enviado;Sim;0;;"21/08/2026 19:49:56";https://shop.tiktok.com/view/product/1737155393667695957?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1148;1737155411863176533;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60159;2600630;"Chinelo Masculino Cartago 12643 Monterrey";;;;31014;0,00;53,90;0,00;0,00;40;1;Enviado;Sim;0;;"21/08/2026 19:55:31";https://shop.tiktok.com/view/product/1737155411863176533?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1147;1737155403539776853;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";56036;2544990;"Chinelo Cartago 12620 Malta Vll";;;;31013;0,00;99,90;0,00;0,00;47;1;Enviado;Sim;0;;"21/08/2026 19:56:01";https://shop.tiktok.com/view/product/1737155403539776853?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
