"Id Derivação";"Tags Produto";Código;"Código Alternativo";"Id Produto";"Produto - Derivação";"Nome da Derivação";Marca;Modelo;"Qtde Estoque";"Id Pai";"Código Pai";"Código Agrupador";Tipo;"Tipo Registro";EAN;NCM;CEST;"Origem Fiscal";"Peso (kg)";"Largura (cm)";"Altura (cm)";"Comprimento (cm)";Volume;"Palavras Chave";"Data de Lançamento";"Data Atualização Produto";Ativo
52817;;00103800;;3110;"Gelelé Slime Balde 457g Tradicional - gelele slime balde 457g roxo (roxo 3495 un)";"gelele slime balde 457g roxo (roxo 3495 un)";"Doce Brinquedo";"457 G TRADICIONAL";6;52815;2480855;2480855-ROXO3495;Produto;Filho;7898915802184;95030099;;0;0,700;13,00;13,00;13,00;0;"slime gelelé, slime gelelé original, gelelé tradicional, slime tradicional, slime gelelé balde, slime gelelé 457g, slime grande, slime cores sortidas, slime infantil, slime adulto, gelelé original, slime macia, slime para brincar, slime sensorial, slime colorida, gelelé para crianças, slime segura, slime criativa, brinquedo gelelé, slime divertida, slime de qualidade, slime para presente, gelelé grande, slime para esticar, slime para modelar, slime relaxante, slime antiestresse, slime sortida, slime pronta para uso, slime durável, slime coleção, slime maleável, gelelé pote grande, slime para criatividade, slime atividades sensoriais, slime coleção gelelé, slime no pote, slime em balde, slime prática, slime para todas as idades, slime cores variadas, slime macia e divertida, Gelelé Slime, Slime Tradicional, Slime em Balde, Slime 457g, Slime macia, Slime elástica, Slime perfumada, Slime atóxica, Slime biodegradável, Slime sensorial, Slime infantil, Slime que não gruda, Slime que não mancha, Gelelé Balde, Slime para crianças, Brincadeira sensorial, Criatividade infantil, Coordenação motora, Slime limpa, Brinquedo divertido, Slime portátil, Presente infantil, Slime fácil de guardar, Slime não tóxica, Gelelé Tradicional, Slime pronta para uso, Slime de grande quantidade, Slime cores sortidas, Gelatinha slime";;"07/05/2026 10:10:15";Sim
39014;;00116537;;2277;"Babuche Boaonda 1716 John - babuche boa onda 1716 john (100-05 preto/preto-bco 37/38)";"babuche boa onda 1716 john (100-05 preto/preto-bco 37/38)";Boaonda;"1716 JOHN";0;38899;2361858;2361858-100-05PRETOPRETO-BCO;Produto;Filho;7899714845686;64029990;;0;1,200;19,00;12,00;33,00;0;"babuche boaonda, babuche masculina, boaonda 1716, babuche john, babuche boaonda john, calçado anatômico, babuche confortável, babuche com palmilha macia, calçado para esporão, sapato leve para trabalho, calçado para quem fica em pé, babuche antiderrapante, calçado com palmilha removível, sapato de borracha macio, babuche fechada confortável, babuche para dor nos pés, calçado resistente e leve, sapato anatômico para calcanhar, babuche tipo crocs masculina, sapato fechado para rotina, babuche durável, babuche para uso diário, calçado com absorção de impacto, babuche com palmilha texturizada, calçado estável e seguro, babuche com encaixe firme, babuche boaonda com conforto, calçado prático, sapato para casa e rua, calçado para idosos, sapato ergonômico, babuche com estilo discreto, sapato com solado antiderrapante, babuche com amortecimento, calçado para trabalho, babuche com pisada segura, babuche confortável masculina., babuche preta, crocs preto.";;"05/05/2026 16:52:43";Sim
39011;;00116539;;2277;"Babuche Boaonda 1716 John - babuche boa onda 1716 john (100-05 preto/preto-bco 39/40)";"babuche boa onda 1716 john (100-05 preto/preto-bco 39/40)";Boaonda;"1716 JOHN";5;38899;2361858;2361858-100-05PRETOPRETO-BCO;Produto;Filho;7899714845693;64029990;;0;1,200;19,00;12,00;33,00;0;"babuche boaonda, babuche masculina, boaonda 1716, babuche john, babuche boaonda john, calçado anatômico, babuche confortável, babuche com palmilha macia, calçado para esporão, sapato leve para trabalho, calçado para quem fica em pé, babuche antiderrapante, calçado com palmilha removível, sapato de borracha macio, babuche fechada confortável, babuche para dor nos pés, calçado resistente e leve, sapato anatômico para calcanhar, babuche tipo crocs masculina, sapato fechado para rotina, babuche durável, babuche para uso diário, calçado com absorção de impacto, babuche com palmilha texturizada, calçado estável e seguro, babuche com encaixe firme, babuche boaonda com conforto, calçado prático, sapato para casa e rua, calçado para idosos, sapato ergonômico, babuche com estilo discreto, sapato com solado antiderrapante, babuche com amortecimento, calçado para trabalho, babuche com pisada segura, babuche confortável masculina., babuche preta, crocs preto.";;"05/05/2026 16:52:43";Sim
39012;;00116541;;2277;"Babuche Boaonda 1716 John - babuche boa onda 1716 john (100-05 preto/preto-bco 41/42)";"babuche boa onda 1716 john (100-05 preto/preto-bco 41/42)";Boaonda;"1716 JOHN";0;38899;2361858;2361858-100-05PRETOPRETO-BCO;Produto;Filho;7899714845709;64029990;;0;1,200;19,00;12,00;33,00;0;"babuche boaonda, babuche masculina, boaonda 1716, babuche john, babuche boaonda john, calçado anatômico, babuche confortável, babuche com palmilha macia, calçado para esporão, sapato leve para trabalho, calçado para quem fica em pé, babuche antiderrapante, calçado com palmilha removível, sapato de borracha macio, babuche fechada confortável, babuche para dor nos pés, calçado resistente e leve, sapato anatômico para calcanhar, babuche tipo crocs masculina, sapato fechado para rotina, babuche durável, babuche para uso diário, calçado com absorção de impacto, babuche com palmilha texturizada, calçado estável e seguro, babuche com encaixe firme, babuche boaonda com conforto, calçado prático, sapato para casa e rua, calçado para idosos, sapato ergonômico, babuche com estilo discreto, sapato com solado antiderrapante, babuche com amortecimento, calçado para trabalho, babuche com pisada segura, babuche confortável masculina., babuche preta, crocs preto.";;"05/05/2026 16:52:43";Sim
39013;;00116543;;2277;"Babuche Boaonda 1716 John - babuche boa onda 1716 john (100-05 preto/preto-bco 43/44)";"babuche boa onda 1716 john (100-05 preto/preto-bco 43/44)";Boaonda;"1716 JOHN";0;38899;2361858;2361858-100-05PRETOPRETO-BCO;Produto;Filho;7899714845716;64029990;;0;1,200;19,00;12,00;33,00;0;"babuche boaonda, babuche masculina, boaonda 1716, babuche john, babuche boaonda john, calçado anatômico, babuche confortável, babuche com palmilha macia, calçado para esporão, sapato leve para trabalho, calçado para quem fica em pé, babuche antiderrapante, calçado com palmilha removível, sapato de borracha macio, babuche fechada confortável, babuche para dor nos pés, calçado resistente e leve, sapato anatômico para calcanhar, babuche tipo crocs masculina, sapato fechado para rotina, babuche durável, babuche para uso diário, calçado com absorção de impacto, babuche com palmilha texturizada, calçado estável e seguro, babuche com encaixe firme, babuche boaonda com conforto, calçado prático, sapato para casa e rua, calçado para idosos, sapato ergonômico, babuche com estilo discreto, sapato com solado antiderrapante, babuche com amortecimento, calçado para trabalho, babuche com pisada segura, babuche confortável masculina., babuche preta, crocs preto.";;"05/05/2026 16:52:43";Sim
39342;;00183233;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 33/34)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 33/34)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336471;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39345;;00183235;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 35/36)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 35/36)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336488;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39343;;00183237;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 37/38)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 37/38)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336495;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39348;;00183239;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 39/40)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 39/40)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336501;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39347;;00183241;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 41/42)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 41/42)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336518;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
