pasta,nome_final,cod_agrupador,titulo_produto,cor_nome,confianca,arquivo,url_original,id,dt_inclusao,duplicado
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,01.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,01-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15874/01-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15874,12/05/2026 14:52:38,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,02.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,02-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15875/02-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15875,12/05/2026 14:52:38,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,03.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,03-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15876/03-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15876,12/05/2026 14:52:39,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,04.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,04-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15877/04-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15877,12/05/2026 14:52:39,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,05.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,05-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15878/05-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15878,12/05/2026 14:52:39,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,06.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,06-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15879/06-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15879,12/05/2026 14:52:39,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,07.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,07-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15880/07-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15880,12/05/2026 14:52:39,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,08.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,08-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15881/08-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15881,12/05/2026 14:52:40,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,09.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,09-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15882/09-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15882,12/05/2026 14:52:40,
BABUCHE/Babuche Baby Feminina Molekinha 2749200 GaspInj/34224 pretoprata,10.png,2607903-34224pretoprata,Babuche Baby Feminina Molekinha 2749.200 Gasp/Inj,34224 preto/prata,ALTA,10-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/05/produto/15883/10-babuche-baby-feminina-molekinha-2749-200-gasp-inj.png,15883,12/05/2026 14:52:40,
