codigo_pai;produto;marca;agrupador;cor;situacao;pares;anuncios;fotos_da_cor;fotos_do_produto;pastas_do_produto;sobra_de_foto;anuncios_com_foto_errada;preco_ml
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLAMARELOPOP;sl amarelo pop 33/34;no ar;1;1;63;63;1;55;1;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLPINKFEVER;sl pink fever 33/34;FALTA;39;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLBRANCO;sl branco 33/34;FALTA;35;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-rosagumrosagummetal;rosa gum/rosa gum metal 33/34;FALTA;27;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-wildlime;wild lime 33/34;FALTA;27;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLPRETO;sl preto 33/34;FALTA;24;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLROSEGOLD;sl rose gold 33/34;FALTA;20;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-laranjasunsetslimlis;laranja sunset slim lis 33/34;FALTA;14;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLROSABALLET;sl rosa ballet 33/34;FALTA;13;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-rosachiffonsllis;rosa chiffon sl lis 33/34;FALTA;13;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLAREIADOURADO;sl areia/dourado 33/34;FALTA;9;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLIMLISOVERDEMATCHA;slim liso verde matcha 33/34;FALTA;3;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-sllisazulbrilhante;sl lis azul brilhante 33/34;FALTA;3;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLIMLISOPESSEGO;slim liso pessego 33/34;FALTA;1;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLIMLISOBUTTERCREAM;slim liso buttercream 33/34;esgotada;0;0;0;63;1;55;0;53.9
2360426;Chinelo Havaianas Slim Liso;Havaianas;2360426-SLIMLISOLILASESCURO;slim liso lilas escuro 33/34;esgotada;0;0;0;63;1;55;0;53.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-102417OLIVIACAMEL;102417 olivia/camel 33;no ar;22;5;41;41;1;33;0;110.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-7142.106-CAMEL1165;7142.106 - CAMEL 1165 33;FALTA;51;0;0;41;1;33;0;110.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-96782.PRETO01CAMEL1165;96782.PRETO 01/CAMEL 1165 33;FALTA;47;0;0;41;1;33;0;110.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-96783.NUDE658CAMEL1165;96783.NUDE 658/CAMEL1165 33;FALTA;46;0;0;41;1;33;0;110.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-102465avelacamelt;102465 avela/camel t 33;FALTA;24;0;0;41;1;33;0;110.9
2035241;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;Modare;2035241-15745preto;15745 preto 33;FALTA;1;0;0;41;1;33;0;110.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-SQEBRANCOBRANCO;sqe branco/branco 33/34;no ar;32;8;20;20;1;12;8;57.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-squcafe;squ cafe 33/34;FALTA;48;0;0;20;1;12;0;57.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-SQUAREPRETO;square preto 33/34;FALTA;26;0;0;20;1;12;0;57.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-smokegreensquare;smoke green square 33/34;FALTA;20;0;0;20;1;12;0;57.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-canyonclayn;canyon clay n 33/34;FALTA;15;0;0;20;1;12;0;57.9
2359737;Chinelo Feminino Havaianas Slim Square Liso;Havaianas;2359737-SQEROSACROCUS;sqe rosa crocus 33/34;esgotada;0;0;0;20;1;12;0;57.9
2368040;Chinelo Cartago 12158 Dallas Tiras Largas;Cartago;2368040-bm370begemarrom;bm370 bege/marrom 37/38;no ar;53;6;16;16;1;8;0;89.9
2368040;Chinelo Cartago 12158 Dallas Tiras Largas;Cartago;2368040-bs786;bs786 37/38;FALTA;70;0;0;16;1;8;0;89.9
2368040;Chinelo Cartago 12158 Dallas Tiras Largas;Cartago;2368040-bm371azulvermelho;bm371 azul/vermelho 37/38;FALTA;6;0;0;16;1;8;0;89.9
2362313;Chinelo Havaianas Brasil;Havaianas;2362313-BRANCOHAVBR;branco hav br 33/34;no ar;108;8;0;20;1;12;0;73.9
2362313;Chinelo Havaianas Brasil;Havaianas;2362313-1288amarelopopmarinho;1288 amarelo pop marinho 33/34;no ar;77;8;20;20;1;12;8;73.9
2362313;Chinelo Havaianas Brasil;Havaianas;2362313-PRETOHAVBR;preto hav br 33/34;no ar;60;8;0;20;1;12;0;73.9
2362313;Chinelo Havaianas Brasil;Havaianas;2362313-marinhobr;marinho br 33/34;FALTA;40;0;0;20;1;12;0;73.9
2362313;Chinelo Havaianas Brasil;Havaianas;2362313-AZULNAVALHAVBR;azul naval hav br 33/34;FALTA;34;0;0;20;1;12;0;73.9
2366748;Chinelo Dedo Cartago 12432 Atlanta II;Cartago;2366748-AY837PRETOBEGE;ay837 preto/bege 37/38;no ar;37;4;10;10;1;2;0;46.9
2366748;Chinelo Dedo Cartago 12432 Atlanta II;Cartago;2366748-ay832marrombege;ay832 marrom/bege 37/38;FALTA;62;0;0;10;1;2;0;46.9
2664207;Chinelo Dedo Masculino Cartago 12578 Sintra;Cartago;2664207-ca112begepreto;ca112 bege/preto 37/38;no ar;60;8;16;16;1;8;0;110.9
2664207;Chinelo Dedo Masculino Cartago 12578 Sintra;Cartago;2664207-ca113marrommarrom;ca113 marrom/marrom 37/38;FALTA;60;0;0;16;1;8;0;110.9
