grid_id;dominio;guia;marca;genero;tamanho;pe_cm;row_id
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;20 BR;10 cm;4325435:14
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;15 BR;10.5 cm;4325435:20
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;16 BR;11.2 cm;4325435:21
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;17 BR;11.3 cm;4325435:15
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;22 BR;12 cm;4325435:13
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;18 BR;12.5 cm;4325435:22
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;19 BR;12.6 cm;4325435:16
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;21 BR;14 cm;4325435:17
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;23 BR;15.4 cm;4325435:18
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;24 BR;16 cm;4325435:19
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;25 BR;16.6 cm;4325435:1
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;26 BR;17.3 cm;4325435:2
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;27 BR;18 cm;4325435:3
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;28 BR;18.6 cm;4325435:4
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;29 BR;19.3 cm;4325435:5
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;30 BR;20 cm;4325435:6
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;31 BR;20.6 cm;4325435:7
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;32 BR;21.3 cm;4325435:8
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;33 BR;21.9 cm;4325435:9
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;34 BR;22.6 cm;4325435:10
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;35 BR;23.3 cm;4325435:11
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;36 BR;23.9 cm;4325435:12
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;37 BR;24.64 cm;4325435:23
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;38 BR;25.31 cm;4325435:24
4325435;SNEAKERS;Meninos Molekinho;Molekinho;Meninos;39 BR;25.98 cm;4325435:25
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;33 BR;21.9 cm;2551058:1
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;34 BR;22.6 cm;2551058:2
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;35 BR;23.3 cm;2551058:3
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;36 BR;23.9 cm;2551058:4
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;37 BR;24.6 cm;2551058:5
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;38 BR;25.3 cm;2551058:6
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;39 BR;25.9 cm;2551058:7
2551058;SNEAKERS;Modare Feminino;Modare;Feminino;40 BR;26.6 cm;2551058:8
