marca;modelo;cor;est;ean_exemplo
Modare;7208.101 NOBUCK;108352 alecrim n;522;7900407775026
Modare;7208.101 NOBUCK;avela soft;283;7900350710396
Havaianas;TOP LISO;top l preto;126;7891109486191
Havaianas;TOP LISO;top l branco;121;7891109714461
Molekinho;2874.202 GASPEA EVA;preto amarelo neon;116;7900294860805
Havaianas;BRASIL;branco hav br;108;7895265145282
Molekinha;2591.103 INJT EVA PI;bab creme 985;107;7900294862762
Havaianas;TRADICIONAL;hav trad preto;107;7891109146583
Modare;7208.101 NOBUCK;83517 creme a1;100;7900245505090
Molekinho;2417.100 SLIDE EVA;preto eva;91;7909800872820
Havaianas;TOP TIRAS;tiras cafe;81;7909989679616
Modare;NOBUCK ONCA 7208.101;avela onca 104798;80;7900350969084
Modare;7208.101 NOBUCK;15745 preto nobu;73;7900245504895
Cartago;12158 DALLAS;bs786;70;7900204745796
Havaianas;TOP TIRAS;rose gold tiras;69;7891224793457
Rider;12674 CORE M;ca781 preto/preto;65;7900377109227
Ipanema;27403 GLOW;bs297 rosa/dourado;63;7900204626859
Cartago;12432 ATLANTA II;ay832 marrom/bege;62;7909937777081
Modare;NOBUCK ONCA 7208.101;creme onca 90075;60;7900350926896
Havaianas;BRASIL;preto hav br;60;7895265700320
Cartago;12578 SINTRA;ca113 marrom/marrom;60;7900377158782
Cartago;12706 RAVENA;cd051 marrom/marrom;60;7900377261529
Under Armour;3027787 UA CORE 2;100core branco/bra/preto;57;196885893650
Modare;NOBUCK ONCA 7208.101;preto onca;56;7900350969190
Havaianas;TRADICIONAL;hav trad rosa flux;56;7893249751870
Havaianas;H. BRASIL LOGO 2024/25;h. logo branco;53;7891109342350
Havaianas;TOP LISO;top l azul naval;52;7890557722219
Modare;7142.106 NP/SEN FLEX;7142.106 - CAMEL 1165;51;7900123051442
Cartago;11859 ALABAMA 1;preto/casto;49;7900204239073
Modare;7142.106 NP/SEN FLEX;96782.PRETO 01/CAMEL 1165;47;7900123064381
Havaianas;SLIM TROPICAL 25/6;amarelo caja;47;7909989608944
Cartago;12640 DURBAN;by989 marrom/marrom;47;7900377003099
Modare;7142.106 NP/SEN FLEX;96783.NUDE 658/CAMEL1165;46;7900123068792
Molekinho;2135.137 FL RUST NEO;105229 cinza/azul;46;7900294548888
Cartago;11840 ATLANTA;as401c/atl preto/preto;46;7909937244996
Havaianas;SLIM SQUARE LISO;squ cafe;45;7909989649831
Cartago;12777 LUGANO;marrom;42;7900377331871
Modare;7208.101 NOBUCK;52531 nude  nobu;41;7900245504994
Havaianas;PALETTE GLOW 25/6;palet blossom;41;7909989895955
Havaianas;BRASIL;marinho br;40;7890557571633
Actvitta;4841.103 LOC SALEM;16143 preto/preto/preto;39;7900245798560
Havaianas;SLIM LISO;sl pink fever;39;7909843611325
Havaianas;BRASIL LOGO BM;blog amarelo/amarelo;38;7909843417163
Modare;7151.102 CANELADO II;000003s/can preto;37;7909694159540
Ipanema;27572 SHINE;ce806 off white/bege;36;7900377343386
Havaianas;SLIM LISO;sl branco;35;7890732316219
Havaianas;BRASIL;azul naval hav br;34;7890557699221
