agrupador;produto;cor;pares;derivacoes_com_estoque;com_ean;com_caixa;custo;guia;preco_irmao;margem_sem_frete;mlb_irmao;categoria;sobra_de_foto
2360426-SLPINKFEVER;Chinelo Havaianas Slim Liso;sl pink fever 33/34;39;4;4;4;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLBRANCO;Chinelo Havaianas Slim Liso;sl branco 33/34;35;5;5;5;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-rosagumrosagummetal;Chinelo Havaianas Slim Liso;rosa gum/rosa gum metal 33/34;27;5;4;5;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-wildlime;Chinelo Havaianas Slim Liso;wild lime 33/34;27;4;4;4;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLPRETO;Chinelo Havaianas Slim Liso;sl preto 33/34;24;4;4;4;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLROSEGOLD;Chinelo Havaianas Slim Liso;sl rose gold 33/34;20;5;5;5;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-laranjasunsetslimlis;Chinelo Havaianas Slim Liso;laranja sunset slim lis 33/34;14;3;3;3;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLROSABALLET;Chinelo Havaianas Slim Liso;sl rosa ballet 33/34;13;4;4;4;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-rosachiffonsllis;Chinelo Havaianas Slim Liso;rosa chiffon sl lis 33/34;13;4;3;4;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLAREIADOURADO;Chinelo Havaianas Slim Liso;sl areia/dourado 33/34;9;5;5;5;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLIMLISOVERDEMATCHA;Chinelo Havaianas Slim Liso;slim liso verde matcha 33/34;3;1;1;1;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-sllisazulbrilhante;Chinelo Havaianas Slim Liso;sl lis azul brilhante 33/34;3;2;2;2;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2360426-SLIMLISOPESSEGO;Chinelo Havaianas Slim Liso;slim liso pessego 33/34;1;1;1;1;24.52;7742541;53.9;28.5;MLB7584838422;MLB273770;55
2035241-7142.106-CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;7142.106 - CAMEL 1165 33;51;8;8;8;49.06;7298346;110.9;29.8;MLB5183584579;MLB273770;33
2035241-96782.PRETO01CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;96782.PRETO 01/CAMEL 1165 33;47;8;8;8;49.06;7298346;110.9;29.8;MLB5183584579;MLB273770;33
2035241-96783.NUDE658CAMEL1165;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;96783.NUDE 658/CAMEL1165 33;46;8;8;8;45.99;7298346;110.9;32.5;MLB5183584579;MLB273770;33
2035241-102465avelacamelt;Chinelo Tamanco Modare 7142.106 NP/Sense Flex;102465 avela/camel t 33;24;5;5;5;45.99;7298346;110.9;32.5;MLB5183584579;MLB273770;33
