item_id;sku;titulo;custo;embalagem;frete;imposto
MLB4693629595;MLB4693629595;Toldo Policarbonato 230x100 P/ Janelas E Portas Pergolado;408,00;;49,35;5%
MLB6989353592;MLB6989353592;Mesa Bistrô Dobrável Redonda De Madeira Maciça Tabaco Para Cozinha E Varanda;117,40;;50,75;5%
MLB4793527781;MLB4793527781;Mesa Dobrável 70cmx70cm Preta Preto;148,60;;50,75;5%
MLB6920349886;MLB6920349886;Toldo Policarbonato 305x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Bronze;521,00;;70,95;5%
MLB4722895661;MLB4722895661;Toldo Policarbonato 380x100 P/ Janelas E Portas Pergolado;639,00;;75,65;5%
MLB4728109795;MLB4728109795;Toldo Metal Policarbonato 220x70 Janelas E Portas Pergolado;258,00;;45,25;5%
MLB4758802013;MLB4758802013;Toldo Policarbonato 305x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Fumê;521,00;;79,35;5%
MLB4719594491;MLB4719594491;Toldo Policarbonato 155x100 P/ Janelas E Portas Pergolado;288,00;;49,35;5%
MLB4793450555;MLB4793450555;Mesa Alta Bistro Em Madeira Maciça Resistente Elegante Redonda Dobrável Tabaco;117,40;;50,75;5%
MLB4951921009;MLB4951921009;Rack New Aurora Para Tv Até 65  Com Porta Ripada E Nichos  Maxi Do Brasil, Pérola;274,00;;106,85;5%
MLB6887673448;MLB6887673448;Toldo Policarbonato 230x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Bronze;408,00;;49,35;5%
MLB4731310629;MLB4731310629;Toldo Shoplima Policarbonato 230x100 P/ Janelas Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Preto;408,00;;79,35;5%
MLB6926100860;MLB6926100860;Toldo Policarbonato 155x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Bronze;288,00;;79,35;5%
MLB4728168353;MLB4728168353;Toldo Metal Policarbonato 290x70 Janelas Portas Pergolado;311,00;;70,95;5%
MLB4770294087;MLB4770294087;Toldo Sunny Metal Policarbonato Modular 145x70cm Porta Janela Perfil Alumínio Aço Reforçado Fumê;198,00;;50,75;5%
MLB4770364733;MLB4770364733;Toldo Sunny Metal Policarbonato Modular 220x70cm Cobertura Porta Janela Perfil Alumínio Aço Reforçado Fumê;258,00;;50,75;5%
MLB6864833186;MLB6864833186;Toldo Policarbonato 305x100 P/ Janelas E Portas Pergolado;521,00;;65,85;5%
MLB6879345124;MLB6879345124;Toldo Metal Policarbonato 145x70 Janelas E Portas Pergolado;198,00;;32,45;5%
MLB6886568462;MLB6886568462;Toldo Policarbonato 155x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Fumê Preto;288,00;;79,35;5%
MLB6927477742;MLB6927477742;Toldo Policarbonato 380x100 P/ Janelas E Portas Pergolado Casa Reforma Chuva Agua Protetor Resistente Moderno Madeira Fumê;639,00;;79,35;5%
MLB6953634094;MLB6953634094;Toldo Sunny Metal Leve Policarbonato Modular 290x70cm Cobertura Porta Janela Perfil Alumínio Aço Reforçado Bronze;311,00;;50,75;5%
MLB6953644418;MLB6953644418;Toldo De Policarbonato Fumê 290x70cm Para Porta E Janela;311,00;;50,75;5%
MLB4728439145;MLB4728439145;Toldo Metal Policarbonato 365x70 Janelas Portas Pergolado;368,00;;70,95;5%
