sku;custo;imposto;observacao
POLTRONAEROS-CAFÉ;480,00;7%;
POLTRONAEROS-CARAMELO;480,00;7%;
KIT2POLTRONASMONA-CINZA;660,00;7%;
KIT2POLTRONASMONACINZA;660,00;7%;
KIT2POLTRONASMONA-BEGE;660,00;7%;
KIT2POLTRONASMONABEGE;660,00;7%;
POLTRONAMONA-AZULPETROLEO;330,00;7%;
POLTRONAMONAAZULPETROLEO;330,00;7%;
poltrona mona azul petroleo;330,00;7%;
POLTRONAMONACORINO-CARAMELO;330,00;7%;
POLTRONAMONACORINOCARAMELO;330,00;7%;
POLTRONAMONACORINO-PRETO;330,00;7%;
POLTRONAMONACORINOPRETO;330,00;7%;
POLTRONAMONA-CINZA;330,00;7%;
POLTRONAMONACINZA;330,00;7%;
POLTRONAMONAAZUL;330,00;7%;
SOFAMILAO-CARAMELO140;500,00;7%;"CONFERIR — a tabela traz 450.00 e 500.00 para o mesmo produto; usei o maior"
SOFAMILAOCARAMELO140;500,00;7%;"CONFERIR — a tabela traz 450.00 e 500.00 para o mesmo produto; usei o maior"
KIT2CADEIRASMONA-BEGE;660,00;7%;
PUFFGRECIA-GRAFITE;340,00;7%;
puff grecia Grafite;340,00;7%;
PUFFGRECIA-CAPUCCINO;340,00;7%;
PUFFGRECIA-OFFWHITE;340,00;7%;
SOFAMILAO-CARAMELO180;600,00;7%;"CONFERIR — a tabela traz 550.00 e 600.00 para o mesmo produto; usei o maior"
SOFAMILAOCARAMELO180;600,00;7%;"CONFERIR — a tabela traz 550.00 e 600.00 para o mesmo produto; usei o maior"
KIT2CADEIRAMONA-CINZA;660,00;7%;
KIT2CADEIRAMONACINZA;660,00;7%;
SOFACAMA-BEGE180;762,00;7%;
SOFACAMABEGE180;762,00;7%;
SOFABENY-GRAFITE180;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
SOFABENY180_GRAFITE;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
SOFABENYGRAFITE180;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
SOFABENY-BEGE180;610,00;7%;
SOFABENYBEGE180;610,00;7%;
POLTRONABENY-PRETO;350,00;7%;
POLTRONABENYPRETO;350,00;7%;
SOFAMILAO-PRETO140;500,00;7%;"CONFERIR — a tabela traz 450.00 e 500.00 para o mesmo produto; usei o maior"
SOFAMILAOPRETO140;500,00;7%;"CONFERIR — a tabela traz 450.00 e 500.00 para o mesmo produto; usei o maior"
SOFACAMA-MARROM180;762,00;7%;
SOFACAMAMARROM180;762,00;7%;
PUFFELEGANCE-OFFWHITECARAMELO;340,00;7%;
PUFFELEGANCEO-FFWHITECARAMELO;340,00;7%;
PUFFELEGANCEOFFWHITECARAMELO;340,00;7%;
POLTRONAMONA-BEGE;330,00;7%;
POLTRONAMONABEGE;330,00;7%;
PUFFPOLTRONAELEGANCE-OFF/CARAMELO;340,00;7%;
PUFFPOLTRONAELEGANCEOFF/CARAMELO;340,00;7%;
SOFACAMA-CINZA180;762,00;7%;
SOFACAMACINZA180;762,00;7%;
SOFACAMA-PRETO180;762,00;7%;
SOFÁCAMAPRETO180;762,00;7%;
PUFFPOLTRONAELEGANCE-CINZA/PRETO;340,00;7%;
PUFFPOLTRONAELEGANCECINZA/PRETO;340,00;7%;
KIT4CADEIRASSUITS-PRETA;508,00;7%;
KIT4CADEIRASSUITSPRETA;508,00;7%;
KIT4POLTRONASSUITS-PRETA;516,00;7%;"CONFERIR — a tabela traz 508.00 e 516.00 para o mesmo produto; usei o maior"
KIT4POLTRONASSUITSPRETA;516,00;7%;"CONFERIR — a tabela traz 508.00 e 516.00 para o mesmo produto; usei o maior"
KIT4CADEIRASSUITS-FENDI;508,00;7%;
KIT4CADEIRASSUITSFENDI;508,00;7%;
PUFFELEGANCE-CINZAPRETO;340,00;7%;
PUFFELEGANCECINZAPRETO;340,00;7%;
KIT2POLTRONASMONACORINO-CARAMELO;660,00;7%;
KIT2POLTRONASMONACORINOCARAMELO;660,00;7%;
POLTRONANUVEMCONFORT-BEGE;350,00;7%;
POLTRONANUVEMCONFORTBEGE;350,00;7%;
POLTRONANUVEMCONFORT-CINZA;350,00;7%;
POLTRONANUVEMCONFORTCINZA;350,00;7%;
POLTRONABENY-GRAFITE;350,00;7%;
POLTRONABENYGRAFITE;350,00;7%;
SOFANUVEM-CINZA;550,00;7%;
SOFANUVEMCINZA;550,00;7%;
POLTRONABENY-CINZA;350,00;7%;
POLTRONABENYCINZA;350,00;7%;
SOFANUVEM-BEGE;550,00;7%;
SOFANUVEMBEGE;550,00;7%;
POLTRONABENY-BEGE;350,00;7%;
POLTRONABENYBEGE;350,00;7%;
PoltronaBeny/Bege;350,00;7%;
SOFACAMA-AZULMARINHO180;762,00;7%;"CONFERIR — a tabela traz 754.00 e 762.00 para o mesmo produto; usei o maior"
SOFACAMAAZULMARINHO180;762,00;7%;"CONFERIR — a tabela traz 754.00 e 762.00 para o mesmo produto; usei o maior"
SOFACAMA-AZULTURQUESA180;762,00;7%;
SOFACAMA-AMARELO180;762,00;7%;
SOFACAMAAMARELO180;762,00;7%;
KIT4POLTRONASSUITSPRETO;516,00;7%;
KIT2PUFFGRECIA-BEGE;680,00;7%;
SOFABENY-GRAFITE140;580,00;7%;
SOFABENYGRAFITE140;580,00;7%;
SOFABENY-BEGE140;580,00;7%;
SOFABENYBEGE140;580,00;7%;
SOFACAMA-AZUL180;762,00;7%;
SOFACAMAAZUL180;762,00;7%;
SOFABENY-CINZA180;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
SOFABENY180_CINZA;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
SOFABENYCINZA180;610,00;7%;"CONFERIR — a tabela traz 550.00 e 610.00 para o mesmo produto; usei o maior"
PUFFGRECIA-CINZA;340,00;7%;
SOFACAMAAZULTURQUESA;762,00;7%;
SOFABENY_CINZA;610,00;7%;
Monalisa Cinza;660,00;7%;SKU solto — não dá para saber que produto é
Monalisa Bege;660,00;7%;SKU solto — não dá para saber que produto é
puf-preto-corino;450,00;7%;SKU solto — não dá para saber que produto é
puf;450,00;7%;SKU solto — não dá para saber que produto é
puff;490,00;7%;SKU solto — não dá para saber que produto é
caramelo;330,00;7%;SKU solto — não dá para saber que produto é
kit mona caramelo;660,00;7%;SKU solto — não dá para saber que produto é
corino preto;330,00;7%;SKU solto — não dá para saber que produto é
mona cinza veludo;330,00;7%;SKU solto — não dá para saber que produto é
puff caramelo;450,00;7%;SKU solto — não dá para saber que produto é
puff grafite sofa-beny-180;550,00;7%;SKU solto — não dá para saber que produto é
caramelo 180;550,00;7%;SKU solto — não dá para saber que produto é
kit-grecia-organico;340,00;7%;SKU solto — não dá para saber que produto é
mona bege-kit;660,00;7%;SKU solto — não dá para saber que produto é
puff sofabeny-140grafite;490,00;7%;SKU solto — não dá para saber que produto é
puff sofabeny-140-bege;490,00;7%;SKU solto — não dá para saber que produto é
Puff Beny-bege-90;350,00;7%;SKU solto — não dá para saber que produto é
mona 2un;660,00;7%;SKU solto — não dá para saber que produto é
grafite140;490,00;7%;SKU solto — não dá para saber que produto é
beny linho preto;350,00;7%;SKU solto — não dá para saber que produto é
beny 60cm cinza;350,00;7%;SKU solto — não dá para saber que produto é
puff s0fa-camm cinza;750,00;7%;SKU solto — não dá para saber que produto é
bege;330,00;7%;SKU solto — não dá para saber que produto é
mona;0,00;0%;SKU solto — não dá para saber que produto é
KIT4CADEIRASSUITSNUDE;508,00;7%;
KIT2POLTRONASSUITSPRETA;258,00;7%;
KIT4POLTRONASSUITS;516,00;7%;
POLTBENYCINZA;350,00;7%;
SOFABENYCINZA140;490,00;7%;
SOFABENYCARAMELO140;490,00;7%;
KIT2CADEIRASMONA;660,00;7%;
puff grecia Cappuccino;340,00;7%;
POLTRONAMONA;330,00;7%;
SOFAYARA_AZUL;765,00;9%;
SOFAYARA_MARROM;765,10;9%;
SOFAYARABEGE;765,00;9%;
SOFAYARA_BEGE;765,00;9%;
SOFAYARA_CINZA;765,00;9%;
POLTBENYCORINO_PRETO;330,00;7%;
POLTBENYLINHO_BEGE;350,00;7%;
SOFAYARA_PRETO;765,00;9%;
POLTBENYLINHO_GRAFITE;330,00;7%;
POLTBENYLINHO_CINZA;330,00;7%;
SOFAYARA_TERRACOTA;765,00;9%;
