sku;custo;imposto;observacao
BENY 60CM CINZA;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
BENY LINHO PRETO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
CARAMELO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
CARAMELO 180;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
CORINO PRETO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
ESCME4153AZUL;192,00;7%;custo facilitaa.xlsx — Escrivaninha Gamer 4153 (MAXI)
ESCME4153VERM;192,00;7%;custo facilitaa.xlsx — Escrivaninha Gamer 4153 (MAXI)
GRAFITE140;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
KIT 2POLTRONA DECORATIVA PÉM;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
KIT MONA CARAMELO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
KIT-GRECIA-ORGANICO;680,00;7%;custo facilitaa.xlsx — Kit 2 Puff Grécia
KIT2CADEIRAMONA-CINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2CADEIRAMONACINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2CADEIRASMONA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2CADEIRASMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONAMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONA-CINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONABEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONACINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONACORINO-CARA;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONACORINO-CARAMELO;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASMONACORINOCARAMELO;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
KIT2POLTRONASSUITSPRETA;258,00;7%;custo facilitaa.xlsx — Poltrona Suits x2
KIT2PUFFGRECIA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit 2 Puff Grécia
KIT4CADEIRASSUITS-FENDI;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4CADEIRASSUITS-NUDE;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4CADEIRASSUITS-PRETA;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4CADEIRASSUITSFENDI;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4CADEIRASSUITSNUDE;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4CADEIRASSUITSPRETA;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT4POLTRONASSUITS;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
KIT4POLTRONASSUITS-PRETA;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
KIT4POLTRONASSUITSPRETA;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
KIT4POLTRONASSUITSPRETO;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
MLB4398500251;580,00;7%;chave por CODIGO DO ANUNCIO — a API nao devolve o SKU dele (as variacoes sao sincronizadas com #6918815648 e #4787622947 e o SKU mora la). Na tela do vendedor as variacoes mostram SOFABENY-BEGE140 e SOFABENY-GRAFITE140, ambas Sofa benny 1,40 a 580 na planilha
MONA 2UN;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
MONA BEGE-KIT;680,00;7%;custo facilitaa.xlsx — Kit Mona 2 un
MONA CINZA VELUDO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
MONALISA BEGE;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
MONALISA CINZA;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
POLTBENYCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTBENYCORINO_PRETO;374,50;7%;custo facilitaa.xlsx — Poltrona Benny Corino
POLTBENYLINHO_BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTBENYLINHO_CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTBENYLINHO_GRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONA MONA AZUL PETROLEO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONABENY-BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENY-CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENY-CORINOPRETO;374,50;7%;custo facilitaa.xlsx — Poltrona Benny Corino
POLTRONABENY-GRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENY-PRETO;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENY/BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYBEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYGRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYPRETO;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONAEROS-BEGE;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-CAFE;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-CAFÉ;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-CARAMELO;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-OFFWHITE;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-PRETA;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
