sku;custo;imposto;observacao
POLTRONAEROS-CAFÉ;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-CARAMELO;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
KIT2POLTRONASMONA-CINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona
KIT2POLTRONASMONACINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona
KIT2POLTRONASMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona
KIT2POLTRONASMONABEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona
POLTRONAMONA-AZULPETROLEO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONAAZULPETROLEO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
poltrona mona azul petroleo;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINO-CARAMELO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINOCARAMELO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINO-PRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINOPRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-CINZA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACINZA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONAAZUL;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
SOFAMILAO-CARAMELO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
SOFAMILAOCARAMELO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
KIT2CADEIRASMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona
PUFFGRECIA-GRAFITE;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
puff grecia Grafite;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
PUFFGRECIA-CAPUCCINO;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
PUFFGRECIA-OFFWHITE;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
SOFAMILAO-CARAMELO180;700,00;7%;custo facilitaa.xlsx — Sofá milao 1,80
SOFAMILAOCARAMELO180;700,00;7%;custo facilitaa.xlsx — Sofá milao 1,80
KIT2CADEIRAMONA-CINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona
KIT2CADEIRAMONACINZA;680,00;7%;custo facilitaa.xlsx — Kit Mona
SOFACAMA-BEGE180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMABEGE180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFABENY-GRAFITE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY180_GRAFITE;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYGRAFITE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY-BEGE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYBEGE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
POLTRONABENY-PRETO;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYPRETO;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFAMILAO-PRETO140;500,00;7%;custo facilitaa.xlsx — Sofá milao 1,40
