mlb_jelc;titulo;preco;status_jelc;sku;ficha;nome_ficha;ficha_declara_medida;medida_ficha;envio_jelc
MLB4324990271;Gran Belo Poltrona Decorativa Santorini Poltrona Marrom Liso;1390;paused;JUPOLTBENYVELMARROM;MLB36767318;Poltrona Do Papai Santorini Veludo Marrom - Gran Belo;sim;"{""WEIGHT"": ""41 kg"", ""WIDTH"": ""103 cm"", ""DEPTH"": ""101 cm"", ""HEIGHT"": ""107 cm""}";me2
MLB5965593548;Poltrona Do Papai Santorini Veludo Cinza - Gran Belo Liso;1276;paused;JUPOLTBENYVELCINZA;MLB38476875;Poltrona Do Papai Santorini Veludo Cinza - Gran Belo;sim;"{""WEIGHT"": ""41 kg"", ""WIDTH"": ""103 cm"", ""DEPTH"": ""101 cm"", ""HEIGHT"": ""107 cm""}";me2
MLB6518929834;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Bege - Jb Estofados Aconchego Sem Colchão;799;paused;SOLTEIROSC_BEGE;MLB65918305;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Bege - Jb Estofados;sim;"{""WEIGHT"": ""4 kg"", ""WIDTH"": ""110 cm"", ""HEIGHT"": ""15 cm"", ""LENGTH"": ""190 cm""}";me2
MLB6555789726;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados Aconchego Com Colchão;799;paused;SOLTEIROCOL_BEGE;MLB65764354;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados;sim;"{""WEIGHT"": ""5 kg"", ""WIDTH"": ""57 cm"", ""HEIGHT"": ""40 cm"", ""LENGTH"": ""190 cm""}";me2
MLB4892859989;Poltrona Reclinável Graça De 1 Lugar Com Porta-copos Para Amamentação E Descanso Bege Liso;799;paused;JUPOLTGRAÇABEGE;MLB53925570;Poltrona Reclinável Graça de 1 Lugar Com Porta-Copos Para Amamentação e Descanso Bege;sim;"{""WEIGHT"": ""2.6 kg"", ""WIDTH"": ""64 cm"", ""DEPTH"": ""64 cm"", ""HEIGHT"": ""70 cm""}";me2
MLB4561685807;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Azul Marinho - Jb Estofados Aconchego Sem Colchão;799;paused;SOLTEIROSC_AZUL;MLB65918386;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Azul Marinho - Jb Estofados;sim;"{""WEIGHT"": ""4 kg"", ""WIDTH"": ""95 cm"", ""HEIGHT"": ""15 cm"", ""LENGTH"": ""190 cm""}";me2
MLB4763503649;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Azul-marinho New Premium;769;paused;SOLTEIROCOL_AZUL;MLB75658014;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Azul-marinho New Premium;sim;"{""WEIGHT"": ""10 kg"", ""WIDTH"": ""50 cm"", ""HEIGHT"": ""50 cm"", ""LENGTH"": ""50 cm""}";me2
MLB4763490881;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Rosa New Premium;769;paused;SOLTEIROCOL_ROSA;MLB75622936;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Rosa New Premium;sim;"{""WEIGHT"": ""10 kg"", ""WIDTH"": ""50 cm"", ""HEIGHT"": ""50 cm"", ""LENGTH"": ""50 cm""}";me2
MLB4763503647;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Bege New Premium;769;paused;SOLTEIROCOL_BEGE;MLB65764354;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados;sim;"{""WEIGHT"": ""5 kg"", ""WIDTH"": ""57 cm"", ""HEIGHT"": ""40 cm"", ""LENGTH"": ""190 cm""}";me2
MLB7316881410;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados Aconchego Com Colchão;769;paused;SOLTEIROCOL_BEGE;MLB65764354;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados;sim;"{""WEIGHT"": ""5 kg"", ""WIDTH"": ""57 cm"", ""HEIGHT"": ""40 cm"", ""LENGTH"": ""190 cm""}";me2
MLB6928025720;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Off-white Liso;729;paused;JUPOLTAGARBOUCLÊOFF;MLB49100257;Poltrona reclinável Jelc Decor Decorativa Recepção;sim;"{""DEPTH"": ""74 cm"", ""HEIGHT"": ""105 cm""}";me2
