mlb_origem;rota;titulo;preco;tipo;estoque_origem;categoria;catalog_product_id;family_name;variacoes;fotos;envio;frete_gratis;status_origem;tem_descricao
MLB5185898848;variacoes;Poltrona Cadeira Decorativa P/ Sala De Estar E Escritório;449.9;gold_special;29993;MLB1626;;;3;12;not_specified;0;paused;0
MLB3692525640;variacoes;Sofá Cama Canaã Veludo Premium Diversas Cores;902.9;gold_pro;600;MLB1626;;;6;36;custom;0;paused;1
MLB3703450072;variacoes;Bicama Sara Veludo;1100;gold_pro;696;MLB1626;;;7;35;custom;0;paused;1
MLB3411912285;variacoes;Sofa Cama Sara Reclinavel Casal 3 Lugares Com Tecido Veludo ;1077.84;gold_pro;691;MLB1626;;;7;35;custom;0;paused;1
MLB3372003993;tradicional;Sofa-cama Reclinável 3 Lugares Veludo Cor Bege Jb Estofados  Bege;1029.46;gold_pro;996;MLB1626;;Sofa-cama Reclinável 3 Lugares Veludo Cor Bege Jb Estofados ;0;5;custom;0;paused;1
MLB3342603479;variacoes;Sofá Cama Sara Reclinável Reforçado Base Madeira Cores Disp;1099.89;gold_pro;696;MLB1626;;;7;35;custom;0;paused;1
MLB3894433516;variacoes;Sofá Atos Retrátil E Reclinável Apartamento C/7 Cores Disp;1350;gold_pro;700;MLB1626;;;7;28;not_specified;1;paused;1
MLB3775333606;variacoes;Sofá Cama Sara Veludo Confortável 8 Cores Disp Jb Estofados;1059.79;gold_pro;800;MLB1626;;;8;40;custom;0;paused;1
MLB3775178570;tradicional;Sofá Cama Bicama Sara Cor Azul Veludo 3 Lugares Jb Estofados Azul-marinho;1679.29;gold_pro;100;MLB1626;;Sofá Cama Bicama Sara Cor Azul Veludo 3 Lugares Jb Estofados;0;5;custom;0;paused;1
MLB4999826182;catalogo;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco;246.5;gold_special;99781;MLB106882;MLB39339793;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco;0;3;me2;1;paused;1
MLB3427739553;variacoes;Sofá-cama Sara Apartamento No Tecido Veludo Com 8 Cores Disp;1065.87;gold_pro;7989;MLB1626;;;8;48;custom;0;paused;1
MLB5028152634;catalogo;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco;182.45;gold_pro;99781;MLB106882;MLB39339793;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco;0;3;me2;1;paused;1
MLB3775186030;tradicional;Bicama Sara Casal 3 Lugares Verde Tecido Veludo Jb Estofados Verde-musgo;1100;gold_pro;91;MLB1626;;Bicama Sara Casal 3 Lugares Verde Tecido Veludo Jb Estofados;0;5;custom;0;paused;1
MLB3784906646;tradicional;Sofa Cama Sara P/apartamento Casal 3 Lugares Preto No Veludo Preto;1077.85;gold_pro;993;MLB1626;;Sofa Cama Sara P/apartamento Casal 3 Lugares Preto No Veludo;0;5;custom;0;paused;1
MLB4999813746;catalogo;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco Envernizado Branco;189;gold_pro;10000;MLB106882;MLB39339793;Banqueta Puff Premium Retangular Estilo Retrô Em Veludo Para Quarto Sala De Estar E Penteadeira Juguilo Envernizado Branco;0;3;me2;1;under_review;1
MLB3897007364;variacoes;Bicama Sara 3 Lugares Apartamento Sala Veludo C/7 Cores Disp;1077;gold_pro;6991;MLB1626;;;7;35;custom;0;paused;1
MLB3817096817;catalogo;Banqueta Retangular Juguilo De Veludo Cinza Para Sala E Penteadeira Envernizado Cinza-escuro;202.74;gold_pro;9982;MLB106882;MLB39425960;Mini Banco Banqueta Puff Retangular Retrô Compacto Com Base E Pés Em Madeira Fixo Moderno Decorativo Para Quarto Sala De Estar E Penteadeira Led Camarim Juguilo Envernizado Cinza-escuro;0;3;me2;1;paused;1
MLB3817085535;catalogo;Banqueta Retangular Juguilo De Veludo Cinza Para Sala E Penteadeira Envernizado Cinza-escuro;189;gold_special;9982;MLB106882;MLB39425960;Mini Banco Banqueta Puff Retangular Retrô Compacto Com Base E Pés Em Madeira Fixo Moderno Decorativo Para Quarto Sala De Estar E Penteadeira Led Camarim Juguilo Envernizado Cinza-escuro;0;3;me2;1;under_review;1
MLB3337362707;variacoes;Sofá Cama Canaã Área Interna/externa Jardim Veludo Cores;899.9;gold_pro;595;MLB1626;;;6;36;custom;0;paused;1
MLB5262060704;tradicional;Poltrona Decorativa Mona Com Pés Madeira Maciça Em Linho Palha Linho Palha;816.5;gold_pro;99999;MLB186067;MLB32263866;Poltrona Decorativa Mona Com Pés Madeira Maciça Em Linho;0;5;me2;1;paused;1
MLB5157626516;variacoes;Sapateira Rack Para Sapatos Organizador Com 2 Prateleiras;459;gold_special;9965;MLB436427;;;3;9;me2;1;paused;1
MLB3817061619;catalogo;Banqueta Retangular Juguilo De Veludo Cinza Para Sala E Penteadeira Envernizado Cinza-escuro;259;gold_special;9982;MLB106882;MLB39425960;Mini Banco Banqueta Puff Retangular Retrô Compacto Com Base E Pés Em Madeira Fixo Moderno Decorativo Para Quarto Sala De Estar E Penteadeira Led Camarim Juguilo Envernizado Cinza-escuro;0;3;me2;1;paused;1
MLB4142980363;catalogo;Poltrona Corino Decorativa Cadeira Moderna Madeira Sala Cor Caramelo Corino Desenho Do Tecido Liso;849;gold_special;99994;MLB416807;MLB44319806;Poltrona Recepção Black Friday Poltrona Courino Premium Poltrona;0;5;me2;1;paused;1
MLB5735699096;catalogo;Conjunto 2 Poltronas Decorativa Mona Luxo Para Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Cinza Escuro;1329;gold_special;0;MLB186067;MLB44997806;Juliflex Bella Design Moderna Mona Futon 2 1;0;8;me2;1;paused;1
MLB5345529074;tradicional;Pedra Branca De Jardim Bege 40 Cm;79.9;gold_special;1;MLB270584;;Pedra Branca De Jardim;0;5;me2;1;paused;1
MLB5461784412;tradicional;Poltrona Cadeira Decorativa Monalisa Para Sala De Estar Off-white Liso;762.85;gold_special;99987;MLB416807;;Poltrona Cadeira Decorativa Monalisa Para Sala De Estar;0;5;me2;1;paused;1
MLB3973174863;catalogo;Sapateira Banco Organizador Para Sapatos Multiuso Com 2 Prateleiras Cor Preto/cinza;509;gold_pro;99999;MLB186268;MLB43531047;Juliflex JB Estofados Estofado Hall Entrada;0;5;me2;1;paused;1
MLB5028152726;catalogo;Banqueta Retangular Juguilo De Veludo Cinza Para Sala E Penteadeira Envernizado Cinza-escuro;209;gold_special;0;MLB106882;MLB39425960;Juguilo Retangular;0;3;me2;1;paused;1
MLB5461629456;tradicional;Poltrona Decorativa Monalisa Luxo Para Quarto Sala De Estar Off-white Liso;848.75;gold_special;99996;MLB1626;;Poltrona Decorativa Monalisa Luxo Para Quarto Sala De Estar;0;5;me2;1;paused;1
MLB5320309096;catalogo;Poltrona Decorativa Do Papai Cadeira Estofada Ágar Com Encosto Macio Para Sala De Descanso E Escritório Tecido Bouclê Cor Terracota J&b;659;gold_special;99980;MLB186067;MLB42452459;J&B JB Estofados Cadeira Ágar Soft Poltrona;0;5;not_specified;0;paused;1
MLB4180085743;variacoes;Poltrona Cadeira Papai E Mamãe C/ Encosto Reclinável;849;gold_special;34944;MLB416807;MLB36264610;;3;17;not_specified;0;paused;1
MLB3986498927;variacoes;Poltrona De Amamentação Mamãe C/ Encosto Reclinável Descanso;869;gold_special;39966;MLB416807;;;4;29;me2;1;paused;1
MLB5646428858;variacoes;Poltrona Cadeira Papai E Mamãe C/ Encosto Reclinável;842.85;gold_special;59983;MLB1626;;;3;17;not_specified;0;paused;1
MLB4132140799;tradicional;Poltrona Decorativa Estofada Mona De Luxo Para Recepção Bege Liso;759;gold_special;99999;MLB186067;;Poltrona Decorativa Estofada Mona De Luxo Para Recepção;0;5;me2;1;paused;1
MLB4051746981;catalogo;Conjunto 2 Poltronas Decorativa Mona Luxo Para Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Bege;90;gold_special;1;MLB1626;MLB44237480;American Wood Balaqui Decor Premium Mona Poltrona 2 1;0;2;me2;1;paused;0
