grupo;mlb_jelc;catalog_product_id;titulo;preco;status_jelc;estoque_jelc;categoria;fotos;envio;frete_gratis;family_name
A-replicar;MLB4324990271;MLB36767318;Gran Belo Poltrona Decorativa Santorini Poltrona Marrom Liso;1390;paused;9990;MLB1626;5;me2;1;Gran Belo Poltrona Decorativa Santorini Poltrona
A-replicar;MLB5965593548;MLB38476875;Poltrona Do Papai Santorini Veludo Cinza - Gran Belo Liso;1276;paused;9993;MLB1626;6;me2;1;Gran Belo Poltrona Decorativa Santorini Poltrona
A-replicar;MLB7591090126;MLB50913618;Retratil Jb Estofados Retrátil Decorativa Poltrona Reclinavel Poltrona 1 Marrom;1190;active;9988;MLB416807;5;me2;1;Retratil JB Estofados Retrátil Decorativa Poltrona Reclinavel Poltrona 1
A-replicar;MLB7591101172;MLB50913632;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Cor Bege;1190;active;10000;MLB416807;6;me2;1;Retratil JB Estofados Retrátil Decorativa Poltrona Reclinavel Poltrona 1
A-replicar;MLB4435280541;MLB26044796;Sofá Reclinável Poltrona Reclinável Poltrona Reclinável De 3 Posições, Imitação De Cor: Couro Pu Preto Símil Couro Pu Preto Liso;1078;paused;10000;MLB458191;4;not_specified;0;Punto Union RECLINER Grecia Poltrona
A-replicar;MLB4435344579;MLB29044231;Poltrona Reclinável Lbx Móveis Preto Corino Sala Tv 117x80x90cm;899;paused;9983;MLB31039;4;me2;1;Lbx Móveis Reclinável Poltrona
A-replicar;MLB4435318301;MLB36337121;Poltrona Preta Ms Móveis Soft Cadeira Para Sala De Descanso Do Papai E Mamãe Com Encosto Reclinável Retrátil E Macio Preto Liso;899;paused;10000;MLB1626;7;not_specified;0;MS Móveis Retratil Soft Poltrona
A-replicar;MLB4435382735;MLB48941762;Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai E Da Mamãe Para Sala De Descanso Preto Lorenttistore Liso;899;paused;10000;MLB1626;4;me2;1;Papai Lorenttistore Cadeira Decor Poltrona
A-replicar;MLB4435267753;MLB26044795;Sofá Reclinável Poltrona Reclinável Poltrona Reclinável De 3 Posições Imitação De Cor: Couro Pu De Chocolate Símil Couro Pu Marrom Liso;899;paused;10000;MLB458191;5;not_specified;0;Punto Union RECLINER Grecia Poltrona
A-replicar;MLB6976683478;MLB68686210;Poltrona Reclinavel Do Papai Mamae Cilios Massagem Porto Descanso Luxo Premium Ergonômica Preto Corino;899;paused;9992;MLB458191;7;me2;1;Anunes Premium Porto Poltrona 1
A-replicar;MLB4435244121;MLB52368713;Lorenttistore Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai Móveis E Da Mamãe Para Sala De Descanso Bege Liso;899;active;9994;MLB416807;3;me2;1;Papai Lorenttistore Cadeira Decor Poltrona
A-replicar;MLB6976696774;MLB20760892;Poltrona Do Papai Reclinável Corino Preto Ayla Art Estofados;899;paused;10000;MLB458191;5;not_specified;0;Art Estofados Ayla Poltrona
A-replicar;MLB4785785395;MLB62320557;Poltrona Do Papai Reclinável De Corino Bege Para Sala De Estar E Amamentação Liso;899;paused;3;MLB458191;6;me2;1;Jd Móveis Bonan Poltrona Do Papai Premium Poltrona do Papai Reclinavel Poltrona 1
A-replicar;MLB7110680328;MLB53172876;Poltrona Cadeira Vitória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Para Amamentação E Sala De Descanso Cor Marrom Liso Marrom Liso;799;paused;9983;MLB458191;7;me2;1;Poltrona Cadeira Vitória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Para Amamentação E Sala De Descanso Cor Marrom Liso
A-replicar;MLB4561685807;MLB65918386;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Azul Marinho - Jb Estofados Aconchego Sem Colchão;799;paused;9962;MLB3231;4;me2;1;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Azul Marinho - Jb Estofados Aconchego Sem Colchão
