situacao;mlb_jelc;titulo_jelc;preco_jelc;mlb_jb;preco_jb;status_jb;envio_jb;frete_gratis_jb;ficha
OK frete gratis;MLB6518066724;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso;899;MLB4657462791;799;active;me2;1;MLB66447623
OK frete gratis;MLB6464413790;Cama Infantil Montessori Aurora Baby Com Colchão 150x70 Cm Para Menino E Menina Cor Azul Aurora Baby Premium;799;MLB5811943086;799;active;me2;1;MLB53620943
OK frete gratis;MLB6976346076;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Jb Estofados Cor Caramelo Liso;899;MLB7237233306;978;active;me2;1;MLB73691155
OK frete gratis;MLB7237526096;Papai Ms Móveis Cadeira Decor Poltrona Preto Liso;899;MLB7521778056;499;active;me2;1;MLB36264611
OK frete gratis;MLB4892817187;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Preto Liso;799;MLB6693260610;799;active;me2;1;MLB49100139
OK frete gratis;MLB4856935029;Cadeira Estilo Poltrona Papai E Mamãe Decor Com Encosto Reclinável Retrátil Para Sala De Descanso Cor Preto Ms Móveis Liso;799;MLB7606444836;799;active;me2;1;MLB37447334
OK frete gratis;MLB7110687248;Poltrona Reclinável Papai Para Sala De Descanso Em Corino Preto;799;MLB6783364246;878.1;active;me2;1;MLB48484032
OK frete gratis;MLB7141469468;Poltrona Sofa Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso Amamentação E Extensão De Cílios Cor Preta Liso Preta Liso;1099;MLB4614894581;1078.99;active;me2;1;MLB39459849
OK frete gratis;MLB7166891618;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Bege Jb Estofados Liso;799;MLB6712692360;819;active;me2;1;MLB67957465
OK frete gratis;MLB5140920229;Poltrona Cadeira Glória Papai E Mamãe Decorativa Com Encosto Macio Retrátil E Reclinável Para Sala De Descanso E Amamentação Cor Caramelo Big Ponme;1000;MLB7237063442;999;active;me2;1;MLB62281220
OK frete gratis;MLB5180210821;Juliflex Jb Estofados Decorativa Quarto Lottus Poltrona 1 Marrom Liso;899;MLB6721386060;899;active;me2;1;MLB50390784
OK frete gratis;MLB7585990046;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar Bege;978.99;MLB7416828576;878;active;me2;1;MLB65905769
sem frete gratis;MLB7591090126;Retratil Jb Estofados Retrátil Decorativa Poltrona Reclinavel Poltrona 1 Marrom;1190;MLB7606444628;1190;active;not_specified;1;MLB50913618
sem frete gratis;MLB7591101172;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Cor Bege;1190;MLB7606469746;1190;active;not_specified;1;MLB50913632
sem frete gratis;MLB4435382735;Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai E Da Mamãe Para Sala De Descanso Preto Lorenttistore Liso;899;MLB7606469942;899;active;not_specified;1;MLB48941762
sem frete gratis;MLB4435244121;Lorenttistore Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai Móveis E Da Mamãe Para Sala De Descanso Bege Liso;899;MLB7606469806;899;active;not_specified;1;MLB52368713
sem frete gratis;MLB5183385013;Poltrona Cadeira Vitória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Para Amamentação E Sala De Descanso Cor Marrom Liso;799;MLB5203913803;799.0;active;not_specified;1;MLB53172876
nao publicado;MLB4856994447;Juliflex Jb Estofados Retrátil Decorativa Vitoria Poltrona 1 Bege Liso;799;;;;;;MLB47539643
