sku;item_id;titulo;status;preco;estoque;custo;imposto
;MLB4038714945;2x Puff Estilo Industrial Redondo Argola Dourada Confortavel Cor Areia Linho;closed;359.22;999;;
POLTMONA_CORINOCARAMELO;MLB4259001583;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Caramelo Direto Da Fabrica Facilit Brasil Variadas Liso;active;921.9;9942;340,00;7,0%
POLTGRECIA_BOUCLECRU;MLB4309160515;Puf Orgânico Off Estilo-poltrona Sofisticado Luxo Decorativo Branco;active;707.36;6216;340,00;7,0%
-;MLB4322162379;Poltrona Do Papai Reclinavel Corino Encosto Sala De Estar Cor Preto Para Sala Tv - Amale Home;paused;939.0;10000;;
POLTGRECIA_LINHOCINZA;MLB4382913497;Pufe Orgânico Estilo Poltrona Grécia Em Linho Premium Cinza;active;708.34;10000;340,00;7,0%
PUFFGRECIA_PRETO;MLB4383517073;Puff Estilo Poltrona Orgânica Grécia Estilo Sala Espera Tv Preto;active;799.0;10000;340,00;7,0%
;MLB4398500251;Puff Sofa-1,40 Luxo Sofisticado Elegante Linho Bege Grafite;active;1430.0;19999;580,00;7,0%
SFBENY180-VELUDOPRETO;MLB4461784537;Facilita Facilita Brasil Modena Bari Sofá 1 2 Preto Liso;active;1429.0;9987;;
SFBENY140_LINHOBEGE;MLB4470719293;Sofá Beny De 2 Lugares Para Sala, 140cm, Em Linho Bege Com Pés De Madeira Da Facilita Brasil;active;1519.99;9986;580,00;7,0%
POLTRONACARIVEOFF;MLB4583148843;Poltrona Decorativa Moderna Orgânica Sofisticada Italia Serena Tecido Bouclê Off White P/ Sala De Recepção Clinica Cru Liso;paused;889.9;10000;;
POLTRONAPAPAI-PRETA;MLB4652928129;Poltrona Reclinável Top Sofas Premium Preto Em Corino Para Sala E Amamentação Corino Liso;paused;1030.0;10000;480,00;7,0%
POLTEROS-BEGE;MLB4653152481;Poltrona Do Papai Confortável Reclinável Couro Estofado Bege;active;940.0;10000;;
POLTEROS-PRETO;MLB4653152483;Poltrona Do Papai Confortável Reclinável Couro Estofado Preto;active;940.0;10000;;
PUFFELEGANCE_LINHO/CORINOOFFWHITE;MLB4655117327;Puff Elegance Redondo Confortável Compacto Estofado Leve Off-white/caramelo;active;699.0;9985;340,00;7,0%
KIT2POLTRONASSUITSPRETA;MLB4660696687;Top Chairs Suits;under_review;531.9;10000;258,00;7,0%
KIT4CADEIRASSUITS-PRETA;MLB4661221307;Kit 4 Cadeira Suits Preta Sala Jantar Restaurante Gourmet Suits Preto;paused;1230.0;10000;508,00;7,0%
KIT4POLTRONASSUITS-PRETA;MLB4661229263;Kit 4 Cadeiras Suits Preto Design Geométrico Moderno Empilhável Polipropileno;paused;1039.9;10000;516,00;7,0%
POLTBENY_LINHO_CINZA;MLB4682930591;Poltrona Beny Tecido Linho Leve Quadrada Decorativa Estar Cinza Liso;active;899.9;10000;350,00;7,0%
KIT4POLTRONASSUITSPRETO;MLB4692874427;Kit 4 Poltrona Suits Preta Area Gourmet Restaurante Cozinha Preto Liso;paused;1380.0;10000;516,00;7,0%
SFBENY140_LINHO_BEGE;MLB4692880327;Puff Sofa 1,40m Luxo Sofisticado Barbearia Forte Linho Bege Bege;active;1519.99;9999;580,00;7,0%
POLTEROS_CORINOCARAMELO;MLB4695269193;Poltrona Papai Reclinável Couro Sala Tv Conforto Cadeira Caramelo Liso;active;1020.0;9984;480,00;7,0%
POLTEROS_CORINOCAFE;MLB4695396207;Poltrona Papai Eros Reclinável Couro Sala Tv Conforto Estar Café Liso;active;1199.9;9981;480,00;7,0%
POLTRONAEROS-PRETO;MLB4695468983;Poltrona Papai Eros Reclinável Couro Sala Conforto Cadeira Preto Liso;under_review;1130.0;9996;480,00;7,0%
